DATE,CES4349300001
7/1/2014,760.3
8/1/2014,764.8
9/1/2014,767
10/1/2014,769
11/1/2014,776
12/1/2014,777.6
1/1/2015,786.4
2/1/2015,797.7
3/1/2015,803.8
4/1/2015,809.6
5/1/2015,817.4
6/1/2015,829.1
7/1/2015,840.8
8/1/2015,847.1
9/1/2015,854.5
10/1/2015,864.6
11/1/2015,871.6
12/1/2015,882.1
1/1/2016,890.5
2/1/2016,897
3/1/2016,904.9
4/1/2016,914.6
5/1/2016,922
6/1/2016,928.2
7/1/2016,936.3
8/1/2016,942.6
9/1/2016,950.4
10/1/2016,956.6
11/1/2016,964.6
12/1/2016,974.3
1/1/2017,980.6
2/1/2017,983.5
3/1/2017,988.5
4/1/2017,998.9
5/1/2017,1007.6
6/1/2017,1019.9
7/1/2017,1026.7
8/1/2017,1038.5
9/1/2017,1046.9
10/1/2017,1061.7
11/1/2017,1078.6
12/1/2017,1086.6
1/1/2018,1095.6
2/1/2018,1107.1
3/1/2018,1119.9
4/1/2018,1124
5/1/2018,1133.2
6/1/2018,1136.1
7/1/2018,1137.2
8/1/2018,1145.7
9/1/2018,1156
10/1/2018,1168.3
11/1/2018,1171.4
12/1/2018,1166.7
1/1/2019,1178
2/1/2019,1181.7
3/1/2019,1182.7
4/1/2019,1185.2
5/1/2019,1186.1
6/1/2019,1187.6
7/1/2019,1190.2
8/1/2019,1190.5
9/1/2019,1193.2
10/1/2019,1191.6
11/1/2019,1192.6
12/1/2019,1192
1/1/2020,1200.4
2/1/2020,1207.8
3/1/2020,1216.6
4/1/2020,1121.4
5/1/2020,1134
6/1/2020,1193.4
7/1/2020,1187.2
8/1/2020,1224.2
9/1/2020,1240
10/1/2020,1268.1
