DATE,LNS12600000
1/1/1968,10086
2/1/1968,10425
3/1/1968,10334
4/1/1968,10440
5/1/1968,10788
6/1/1968,10752
7/1/1968,10678
8/1/1968,10597
9/1/1968,10863
10/1/1968,10737
11/1/1968,10949
12/1/1968,11033
1/1/1969,11015
2/1/1969,11064
3/1/1969,11011
4/1/1969,11264
5/1/1969,11257
6/1/1969,11299
7/1/1969,11234
8/1/1969,11207
9/1/1969,11307
10/1/1969,11568
11/1/1969,11597
12/1/1969,11769
1/1/1970,11760
2/1/1970,11749
3/1/1970,11926
4/1/1970,12173
5/1/1970,11960
6/1/1970,11854
7/1/1970,11988
8/1/1970,11881
9/1/1970,11828
10/1/1970,11905
11/1/1970,12031
12/1/1970,11995
1/1/1971,12229
2/1/1971,12042
3/1/1971,12223
4/1/1971,12150
5/1/1971,12188
6/1/1971,12518
7/1/1971,12532
8/1/1971,12589
9/1/1971,12514
10/1/1971,12612
11/1/1971,12590
12/1/1971,12563
1/1/1972,12826
2/1/1972,12850
3/1/1972,12841
4/1/1972,12940
5/1/1972,12971
6/1/1972,12685
7/1/1972,13008
8/1/1972,13283
9/1/1972,13067
10/1/1972,12827
11/1/1972,12935
12/1/1972,13005
1/1/1973,12622
2/1/1973,13043
3/1/1973,13197
4/1/1973,13226
5/1/1973,13185
6/1/1973,13033
7/1/1973,12974
8/1/1973,12948
9/1/1973,13550
10/1/1973,13630
11/1/1973,13696
12/1/1973,13865
1/1/1974,13663
2/1/1974,13720
3/1/1974,13636
4/1/1974,13527
5/1/1974,13685
6/1/1974,13539
7/1/1974,13765
8/1/1974,13548
9/1/1974,13802
10/1/1974,13828
11/1/1974,13835
12/1/1974,13782
1/1/1975,13900
2/1/1975,13822
3/1/1975,14053
4/1/1975,14167
5/1/1975,14139
6/1/1975,14642
7/1/1975,14928
8/1/1975,14567
9/1/1975,14315
10/1/1975,14260
11/1/1975,14237
12/1/1975,14156
1/1/1976,14535
2/1/1976,14471
3/1/1976,14421
4/1/1976,14537
5/1/1976,14518
6/1/1976,14893
7/1/1976,14898
8/1/1976,14981
9/1/1976,15134
10/1/1976,15005
11/1/1976,15042
12/1/1976,15063
1/1/1977,14927
2/1/1977,15142
3/1/1977,15288
4/1/1977,15383
5/1/1977,15323
6/1/1977,15164
7/1/1977,15272
8/1/1977,15434
9/1/1977,15460
10/1/1977,15610
11/1/1977,15835
12/1/1977,15845
1/1/1978,15700
2/1/1978,15727
3/1/1978,15711
4/1/1978,16018
5/1/1978,16181
6/1/1978,15659
7/1/1978,15597
8/1/1978,15454
9/1/1978,15973
10/1/1978,16060
11/1/1978,16018
12/1/1978,16061
1/1/1979,16086
2/1/1979,16146
3/1/1979,16109
4/1/1979,15940
5/1/1979,16051
6/1/1979,16026
7/1/1979,16142
8/1/1979,16002
9/1/1979,16315
10/1/1979,16194
11/1/1979,16279
12/1/1979,16695
1/1/1980,16692
2/1/1980,16658
3/1/1980,16604
4/1/1980,16556
5/1/1980,16670
6/1/1980,16726
7/1/1980,16892
8/1/1980,16889
9/1/1980,16649
10/1/1980,16773
11/1/1980,16883
12/1/1980,16874
1/1/1981,16917
2/1/1981,17038
3/1/1981,17198
4/1/1981,17355
5/1/1981,17170
6/1/1981,17176
7/1/1981,17001
8/1/1981,17117
9/1/1981,17043
10/1/1981,17284
11/1/1981,17279
12/1/1981,17223
1/1/1982,17569
2/1/1982,17449
3/1/1982,17610
4/1/1982,17846
5/1/1982,18034
6/1/1982,18310
7/1/1982,18274
8/1/1982,18470
9/1/1982,18524
