DATE,CES7072200001
1/1/1990,6538.5
2/1/1990,6536
3/1/1990,6539.4
4/1/1990,6526.9
5/1/1990,6501.3
6/1/1990,6530.5
7/1/1990,6552.8
8/1/1990,6560.4
9/1/1990,6567.4
10/1/1990,6526.5
11/1/1990,6536.9
12/1/1990,6545.4
1/1/1991,6508.7
2/1/1991,6502.4
3/1/1991,6504.6
4/1/1991,6489.7
5/1/1991,6477.3
6/1/1991,6502.9
7/1/1991,6486.8
8/1/1991,6493.8
9/1/1991,6513.4
10/1/1991,6512.4
11/1/1991,6525.1
12/1/1991,6537.4
1/1/1992,6567.9
2/1/1992,6569.2
3/1/1992,6564.5
4/1/1992,6598
5/1/1992,6613.8
6/1/1992,6613.8
7/1/1992,6641.3
8/1/1992,6653.5
9/1/1992,6670.8
10/1/1992,6729.2
11/1/1992,6734.9
12/1/1992,6727.5
1/1/1993,6741.1
2/1/1993,6766.6
3/1/1993,6717.5
4/1/1993,6799.8
5/1/1993,6829.5
6/1/1993,6843.6
7/1/1993,6857.1
8/1/1993,6884.1
9/1/1993,6898.3
10/1/1993,6940.8
11/1/1993,6944.1
12/1/1993,6985.7
1/1/1994,7009.3
2/1/1994,7015.1
3/1/1994,7036.3
4/1/1994,7075
5/1/1994,7080.6
6/1/1994,7090.1
7/1/1994,7113.6
8/1/1994,7130.2
9/1/1994,7147.3
10/1/1994,7168.1
11/1/1994,7197.7
12/1/1994,7227.8
1/1/1995,7293
2/1/1995,7303.9
3/1/1995,7324
4/1/1995,7343
5/1/1995,7350.4
6/1/1995,7387.3
7/1/1995,7412.4
8/1/1995,7428.4
9/1/1995,7450.5
10/1/1995,7430
11/1/1995,7458.2
12/1/1995,7471
1/1/1996,7475.2
2/1/1996,7482.1
3/1/1996,7512
4/1/1996,7521.4
5/1/1996,7540.6
6/1/1996,7546
7/1/1996,7567.6
8/1/1996,7580
9/1/1996,7583.9
10/1/1996,7601.1
11/1/1996,7621.7
12/1/1996,7628.9
1/1/1997,7640.5
2/1/1997,7653.3
3/1/1997,7664.2
4/1/1997,7670
5/1/1997,7684.8
6/1/1997,7694.2
7/1/1997,7677.1
8/1/1997,7701.1
9/1/1997,7723.2
10/1/1997,7709.7
11/1/1997,7727.3
12/1/1997,7728.5
1/1/1998,7741.5
2/1/1998,7758.8
3/1/1998,7766.3
4/1/1998,7772.6
5/1/1998,7810.8
6/1/1998,7811.6
7/1/1998,7817.9
8/1/1998,7833.5
9/1/1998,7850.7
10/1/1998,7840.3
11/1/1998,7865.2
12/1/1998,7890.8
1/1/1999,7898.8
2/1/1999,7936.4
3/1/1999,7942.1
4/1/1999,7970
5/1/1999,7989.6
6/1/1999,8007.8
7/1/1999,8005.9
8/1/1999,8009.3
9/1/1999,8012.2
10/1/1999,8059.8
11/1/1999,8086
12/1/1999,8114.1
1/1/2000,8115.6
2/1/2000,8125.8
3/1/2000,8164.6
4/1/2000,8170.4
5/1/2000,8162.5
6/1/2000,8174.6
7/1/2000,8188.4
8/1/2000,8218.3
9/1/2000,8241.4
10/1/2000,8174.8
11/1/2000,8243.4
12/1/2000,8283.2
1/1/2001,8283
2/1/2001,8306.2
3/1/2001,8304.6
