DATE,LNS12000003
1/1/1954,53963
2/1/1954,54566
3/1/1954,54380
4/1/1954,53929
5/1/1954,53739
6/1/1954,53619
7/1/1954,53468
8/1/1954,53763
9/1/1954,53813
10/1/1954,53925
11/1/1954,54294
12/1/1954,54142
1/1/1955,54715
2/1/1955,54877
3/1/1955,54900
4/1/1955,55297
5/1/1955,55409
6/1/1955,55504
7/1/1955,56098
8/1/1955,56478
9/1/1955,56350
10/1/1955,56573
11/1/1955,56706
12/1/1955,56929
1/1/1956,57242
2/1/1956,56927
3/1/1956,56927
4/1/1956,57078
5/1/1956,57297
6/1/1956,57355
7/1/1956,57299
8/1/1956,57410
9/1/1956,57515
10/1/1956,57398
11/1/1956,57375
12/1/1956,57316
1/1/1957,57196
2/1/1957,57582
3/1/1957,57718
4/1/1957,57366
5/1/1957,57285
6/1/1957,57598
7/1/1957,57885
8/1/1957,57367
9/1/1957,57508
10/1/1957,57485
11/1/1957,57262
12/1/1957,57381
1/1/1958,56816
2/1/1958,56600
3/1/1958,56423
4/1/1958,56274
5/1/1958,56477
6/1/1958,56323
7/1/1958,56307
8/1/1958,56620
9/1/1958,56655
10/1/1958,56853
11/1/1958,56965
12/1/1958,57140
1/1/1959,57368
2/1/1959,57296
3/1/1959,57680
4/1/1959,58070
5/1/1959,58034
6/1/1959,58148
7/1/1959,58322
8/1/1959,58177
9/1/1959,58123
10/1/1959,58308
11/1/1959,57878
12/1/1959,58586
1/1/1960,58543
2/1/1960,58780
3/1/1960,58160
4/1/1960,59032
5/1/1960,59114
6/1/1960,59076
7/1/1960,58939
8/1/1960,58854
9/1/1960,59155
10/1/1960,58594
11/1/1960,59111
12/1/1960,58790
1/1/1961,58877
2/1/1961,58736
3/1/1961,59022
4/1/1961,58694
5/1/1961,58649
6/1/1961,59144
7/1/1961,58777
8/1/1961,58981
9/1/1961,58690
10/1/1961,58970
11/1/1961,59184
12/1/1961,59091
1/1/1962,59317
2/1/1962,59492
3/1/1962,59538
4/1/1962,59518
5/1/1962,59651
6/1/1962,59665
7/1/1962,59460
8/1/1962,59882
9/1/1962,60121
10/1/1962,59969
11/1/1962,59761
12/1/1962,59946
1/1/1963,59964
2/1/1963,60079
3/1/1963,60254
4/1/1963,60470
5/1/1963,60410
6/1/1963,60565
7/1/1963,60746
8/1/1963,60640
9/1/1963,61036
10/1/1963,61142
11/1/1963,61081
12/1/1963,60986
1/1/1964,61118
2/1/1964,61422
3/1/1964,61479
4/1/1964,62033
5/1/1964,62222
6/1/1964,61836
7/1/1964,62048
8/1/1964,62101
9/1/1964,62120
10/1/1964,62078
11/1/1964,62169
12/1/1964,62377
1/1/1965,62605
2/1/1965,62748
3/1/1965,62944
4/1/1965,63100
5/1/1965,63396
6/1/1965,63434
7/1/1965,63827
8/1/1965,63611
9/1/1965,63555
10/1/1965,63855
11/1/1965,63913
12/1/1965,64296
1/1/1966,64422
2/1/1966,64335
3/1/1966,64456
4/1/1966,64630
5/1/1966,64728
6/1/1966,64929
7/1/1966,64924
8/1/1966,65240
9/1/1966,65240
10/1/1966,65474
11/1/1966,65906
12/1/1966,65849
1/1/1967,65692
2/1/1967,65702
3/1/1967,65601
4/1/1967,65859
5/1/1967,65913
6/1/1967,66230
7/1/1967,66538
8/1/1967,66846
9/1/1967,66795
10/1/1967,66952
11/1/1967,66991
12/1/1967,67218
1/1/1968,66685
2/1/1968,67090
3/1/1968,67226
4/1/1968,67332
5/1/1968,67829
6/1/1968,67986
7/1/1968,67920
8/1/1968,67957
9/1/1968,68012
10/1/1968,68014
11/1/1968,68322
12/1/1968,68512
1/1/1969,68507
2/1/1969,68969
3/1/1969,69080
4/1/1969,69220
5/1/1969,69189
6/1/1969,69593
7/1/1969,69619
8/1/1969,69827
9/1/1969,69780
10/1/1969,69899
11/1/1969,70037
12/1/1969,70195
1/1/1970,70224
2/1/1970,70253
3/1/1970,70367
4/1/1970,70435
5/1/1970,70089
6/1/1970,69946
7/1/1970,70222
8/1/1970,70177
9/1/1970,70075
10/1/1970,70304
11/1/1970,70245
12/1/1970,70185
1/1/1971,70480
2/1/1971,70308
3/1/1971,70117
4/1/1971,70501
5/1/1971,70672
6/1/1971,70353
7/1/1971,70753
8/1/1971,71013
9/1/1971,71148
10/1/1971,71365
11/1/1971,71700
12/1/1971,71975
1/1/1972,72461
2/1/1972,72505
3/1/1972,72845
4/1/1972,72887
5/1/1972,73100
6/1/1972,73230
7/1/1972,73418
8/1/1972,73779
9/1/1972,73779
10/1/1972,73833
11/1/1972,74074
12/1/1972,74384
1/1/1973,74223
2/1/1973,74810
3/1/1973,75118
4/1/1973,75238
5/1/1973,75351
6/1/1973,75939
7/1/1973,75885
8/1/1973,75759
9/1/1973,76092
10/1/1973,76484
11/1/1973,76766
12/1/1973,76688
1/1/1974,76792
2/1/1974,77048
3/1/1974,77174
4/1/1974,77036
5/1/1974,77217
6/1/1974,77325
7/1/1974,77508
8/1/1974,77356
9/1/1974,77397
10/1/1974,77413
11/1/1974,77122
12/1/1974,76756
1/1/1975,76225
2/1/1975,75933
3/1/1975,75920
4/1/1975,75911
5/1/1975,76061
6/1/1975,76048
7/1/1975,76455
8/1/1975,76736
9/1/1975,76772
10/1/1975,76874
11/1/1975,76854
12/1/1975,77095
1/1/1976,77656
2/1/1976,77981
3/1/1976,78138
4/1/1976,78502
5/1/1976,78802
6/1/1976,78808
7/1/1976,79170
8/1/1976,79268
9/1/1976,79220
10/1/1976,79393
11/1/1976,79534
12/1/1976,79765
1/1/1977,79793
2/1/1977,80229
3/1/1977,80639
4/1/1977,81046
5/1/1977,81468
6/1/1977,81689
7/1/1977,81795
8/1/1977,82097
9/1/1977,82307
10/1/1977,82731
11/1/1977,83221
12/1/1977,83362
1/1/1978,83565
2/1/1978,83649
3/1/1978,83778
4/1/1978,84405
5/1/1978,84675
6/1/1978,85268
7/1/1978,85026
8/1/1978,85251
9/1/1978,85368
10/1/1978,85860
11/1/1978,86134
12/1/1978,86256
1/1/1979,86625
2/1/1979,86983
3/1/1979,86932
4/1/1979,86703
5/1/1979,86854
6/1/1979,87105
7/1/1979,87361
8/1/1979,87128
9/1/1979,87606
10/1/1979,87707
11/1/1979,87847
12/1/1979,88270
1/1/1980,88248
2/1/1980,88399
3/1/1980,88099
4/1/1980,87720
5/1/1980,87451
6/1/1980,87201
7/1/1980,87209
8/1/1980,87148
9/1/1980,87491
10/1/1980,87768
11/1/1980,87864
12/1/1980,87995
1/1/1981,88150
2/1/1981,88538
3/1/1981,88753
4/1/1981,89161
5/1/1981,89272
6/1/1981,88667
7/1/1981,89003
8/1/1981,89067
9/1/1981,88462
10/1/1981,88833
11/1/1981,88506
12/1/1981,88085
1/1/1982,88019
2/1/1982,88127
3/1/1982,88085
4/1/1982,88052
5/1/1982,88492
6/1/1982,88047
7/1/1982,87914
8/1/1982,87924
9/1/1982,87852
10/1/1982,87616
11/1/1982,87401
12/1/1982,87339
1/1/1983,87427
2/1/1983,87232
3/1/1983,87385
4/1/1983,87742
5/1/1983,87897
6/1/1983,88855
7/1/1983,89289
8/1/1983,89613
