DATE,LNS12027689
1/1/1992,24962
2/1/1992,24940
3/1/1992,25058
4/1/1992,25219
5/1/1992,25401
6/1/1992,25483
7/1/1992,25475
8/1/1992,25666
9/1/1992,25832
10/1/1992,25930
11/1/1992,26097
12/1/1992,26210
1/1/1993,26240
2/1/1993,26373
3/1/1993,26525
4/1/1993,26697
5/1/1993,26959
6/1/1993,26959
7/1/1993,26929
8/1/1993,26951
9/1/1993,27196
10/1/1993,27090
11/1/1993,27305
12/1/1993,27553
1/1/1994,27956
2/1/1994,28567
3/1/1994,28638
4/1/1994,28469
5/1/1994,28438
6/1/1994,28371
7/1/1994,28644
8/1/1994,28701
9/1/1994,28744
10/1/1994,29104
11/1/1994,29316
12/1/1994,29321
1/1/1995,29427
2/1/1995,29716
3/1/1995,29505
4/1/1995,29566
5/1/1995,29441
6/1/1995,29357
7/1/1995,29951
8/1/1995,29947
9/1/1995,29902
10/1/1995,29910
11/1/1995,29683
12/1/1995,29691
1/1/1996,29537
2/1/1996,29611
3/1/1996,29744
4/1/1996,29737
5/1/1996,29898
6/1/1996,30117
7/1/1996,30355
8/1/1996,30352
9/1/1996,30235
10/1/1996,30278
11/1/1996,29954
12/1/1996,30057
1/1/1997,30100
2/1/1997,29999
3/1/1997,30077
4/1/1997,30034
5/1/1997,30337
6/1/1997,30341
7/1/1997,30267
8/1/1997,30645
9/1/1997,30536
10/1/1997,30555
11/1/1997,30560
12/1/1997,30390
1/1/1998,30344
2/1/1998,30376
3/1/1998,30339
4/1/1998,30502
5/1/1998,30399
6/1/1998,30340
7/1/1998,30341
8/1/1998,30235
9/1/1998,30431
10/1/1998,30543
11/1/1998,30940
12/1/1998,30995
1/1/1999,31332
2/1/1999,31269
3/1/1999,30803
4/1/1999,31132
5/1/1999,30992
6/1/1999,31104
7/1/1999,31185
8/1/1999,30843
9/1/1999,31271
10/1/1999,31386
11/1/1999,31569
12/1/1999,31646
1/1/2000,31877
2/1/2000,31989
3/1/2000,32207
4/1/2000,32289
5/1/2000,32537
6/1/2000,32457
7/1/2000,32362
8/1/2000,32430
9/1/2000,32326
10/1/2000,32422
11/1/2000,32343
12/1/2000,32450
1/1/2001,32361
2/1/2001,32551
3/1/2001,32679
4/1/2001,32596
5/1/2001,32678
6/1/2001,32672
7/1/2001,32645
8/1/2001,32703
9/1/2001,32874
10/1/2001,32360
11/1/2001,32469
12/1/2001,32443
1/1/2002,32286
2/1/2002,31965
3/1/2002,31926
4/1/2002,31732
5/1/2002,31735
6/1/2002,31815
7/1/2002,31982
8/1/2002,32153
9/1/2002,32302
10/1/2002,32438
11/1/2002,32486
12/1/2002,32354
1/1/2003,32655
2/1/2003,32622
3/1/2003,32403
4/1/2003,32485
5/1/2003,32426
6/1/2003,32545
7/1/2003,32456
8/1/2003,32300
9/1/2003,32355
10/1/2003,32205
11/1/2003,32148
12/1/2003,32480
1/1/2004,32460
2/1/2004,32628
3/1/2004,32799
4/1/2004,33118
5/1/2004,33205
6/1/2004,33192
7/1/2004,33152
8/1/2004,33076
9/1/2004,33006
10/1/2004,33047
11/1/2004,33029
12/1/2004,33020
1/1/2005,33122
2/1/2005,33309
3/1/2005,33449
4/1/2005,33467
5/1/2005,33472
6/1/2005,33491
7/1/2005,33619
8/1/2005,33858
9/1/2005,33853
10/1/2005,33794
11/1/2005,33934
12/1/2005,34081
1/1/2006,34322
2/1/2006,34600
3/1/2006,34202
4/1/2006,33973
5/1/2006,33735
6/1/2006,33694
7/1/2006,34020
8/1/2006,34125
9/1/2006,34136
10/1/2006,34311
11/1/2006,34062
12/1/2006,34422
1/1/2007,33919
2/1/2007,33473
3/1/2007,34193
4/1/2007,34406
5/1/2007,34792
6/1/2007,34907
7/1/2007,34945
8/1/2007,34745
9/1/2007,34818
10/1/2007,35054
11/1/2007,35011
12/1/2007,34992
1/1/2008,35093
2/1/2008,34804
3/1/2008,35139
4/1/2008,35209
5/1/2008,35185
6/1/2008,35330
7/1/2008,34853
8/1/2008,35078
9/1/2008,35131
10/1/2008,34841
11/1/2008,34986
12/1/2008,34826
1/1/2009,34242
