DATE,LREM55TTUSM156S
1/1/1977,54.10667525
2/1/1977,53.81595267
3/1/1977,54.03436044
4/1/1977,54.22185191
5/1/1977,54.29827975
6/1/1977,54.11187745
7/1/1977,53.98103691
8/1/1977,53.8928955
9/1/1977,54.0851738
10/1/1977,54.31132822
11/1/1977,54.38476499
12/1/1977,54.48529613
1/1/1978,54.31474363
2/1/1978,54.34888738
3/1/1978,54.52219184
4/1/1978,54.66968016
5/1/1978,54.40775127
6/1/1978,54.72949127
7/1/1978,54.67679807
8/1/1978,54.52275852
9/1/1978,54.57046448
10/1/1978,54.46397116
11/1/1978,55.08555884
12/1/1978,54.95925636
1/1/1979,55.18562805
2/1/1979,54.99025882
3/1/1979,54.88047443
4/1/1979,54.30331099
5/1/1979,54.35054381
6/1/1979,54.33944537
7/1/1979,54.3383638
8/1/1979,54.49457189
9/1/1979,54.72277058
10/1/1979,54.88687432
11/1/1979,54.38168585
12/1/1979,54.40069735
1/1/1980,54.06437455
2/1/1980,54.61118415
3/1/1980,54.13703264
4/1/1980,54.13880886
5/1/1980,53.83086784
6/1/1980,53.88696561
7/1/1980,53.94200719
8/1/1980,53.95550948
9/1/1980,53.54343069
10/1/1980,53.60129165
11/1/1980,53.2767523
12/1/1980,53.05400068
1/1/1981,53.24595487
2/1/1981,53.39850492
3/1/1981,53.49123629
4/1/1981,53.4932511
5/1/1981,53.59819751
6/1/1981,53.20435999
7/1/1981,53.12738865
8/1/1981,52.8787451
9/1/1981,52.34354397
10/1/1981,52.5279825
11/1/1981,52.2206058
12/1/1981,52.02198106
1/1/1982,52.20854526
2/1/1982,51.79676875
3/1/1982,52.22112946
4/1/1982,52.22596171
5/1/1982,52.20806388
6/1/1982,51.96460031
7/1/1982,52.11243952
8/1/1982,52.15845357
9/1/1982,52.79158832
10/1/1982,51.89148457
11/1/1982,51.87560241
12/1/1982,51.47859198
1/1/1983,51.59134966
2/1/1983,51.44752284
3/1/1983,51.06121927
4/1/1983,50.94435175
5/1/1983,51.18846293
6/1/1983,51.31331275
7/1/1983,51.47762787
8/1/1983,51.39778949
9/1/1983,51.61744758
10/1/1983,51.60511161
11/1/1983,51.73241508
12/1/1983,51.9150126
1/1/1984,51.44866085
2/1/1984,51.75432931
3/1/1984,51.51631012
4/1/1984,51.81395801
5/1/1984,51.91902375
6/1/1984,51.63413335
7/1/1984,51.73328119
8/1/1984,51.69068887
9/1/1984,51.82972606
10/1/1984,51.08041206
11/1/1984,51.59428195
12/1/1984,51.98695028
1/1/1985,51.64481735
2/1/1985,51.61876389
3/1/1985,52.18289162
4/1/1985,51.8083155
5/1/1985,51.8599028
6/1/1985,51.79454867
7/1/1985,51.70830486
8/1/1985,52.07718718
9/1/1985,51.67295051
10/1/1985,51.94112458
11/1/1985,51.8136023
12/1/1985,51.60111395
1/1/1986,51.54582731
2/1/1986,50.85076256
3/1/1986,51.21485753
4/1/1986,51.36224486
5/1/1986,52.00551642
6/1/1986,52.30905012
7/1/1986,52.19663543
8/1/1986,52.39781711
9/1/1986,51.7267603
10/1/1986,51.87207979
11/1/1986,52.15664934
12/1/1986,52.05996354
1/1/1987,52.46715774
2/1/1987,51.99702638
3/1/1987,52.06882177
4/1/1987,52.1258152
5/1/1987,52.55248688
6/1/1987,52.51586974
7/1/1987,52.45020566
8/1/1987,52.37467874
9/1/1987,52.36405845
10/1/1987,53.02282031
11/1/1987,53.01196139
12/1/1987,53.08905883
1/1/1988,52.67344598
2/1/1988,52.65412597
3/1/1988,52.45531613
4/1/1988,52.88135412
5/1/1988,52.46958741
6/1/1988,52.58133652
7/1/1988,52.63448609
8/1/1988,52.99373595
9/1/1988,52.92869833
10/1/1988,53.20502207
11/1/1988,53.21987916
12/1/1988,53.4168581
1/1/1989,53.65227683
2/1/1989,53.24617469
3/1/1989,53.69618964
4/1/1989,53.68397916
5/1/1989,53.62977062
6/1/1989,53.91116803
7/1/1989,53.90137881
8/1/1989,53.48746208
9/1/1989,53.74660123
10/1/1989,53.84792554
11/1/1989,54.12177923
12/1/1989,54.17254037
1/1/1990,53.74079631
2/1/1990,53.60529913
3/1/1990,53.59917247
4/1/1990,53.42323024
5/1/1990,53.98249907
6/1/1990,53.96652331
7/1/1990,54.16475096
8/1/1990,54.38652996
9/1/1990,54.23411219
10/1/1990,54.16318007
11/1/1990,53.98293498
12/1/1990,54.48379179
1/1/1991,53.54035739
2/1/1991,53.09463861
3/1/1991,53.11811582
4/1/1991,53.18292581
5/1/1991,52.74732676
6/1/1991,53.42482609
7/1/1991,53.60957847
8/1/1991,53.05294101
9/1/1991,53.70700094
10/1/1991,53.17192586
11/1/1991,53.02901331
12/1/1991,52.99292089
1/1/1992,53.29946034
2/1/1992,53.24563492
3/1/1992,53.60800793
4/1/1992,53.7237303
5/1/1992,53.65100711
6/1/1992,53.76123907
7/1/1992,53.98883096
8/1/1992,53.15941764
9/1/1992,53.28658655
10/1/1992,52.71122522
11/1/1992,52.83585022
12/1/1992,53.18432054
1/1/1993,53.17907173
2/1/1993,54.26424301
3/1/1993,54.10783976
4/1/1993,54.18437066
5/1/1993,54.25373391
6/1/1993,54.58562436
7/1/1993,53.23471792
8/1/1993,53.64915829
9/1/1993,53.15339006
10/1/1993,53.29661093
11/1/1993,53.47966236
12/1/1993,53.74837247
1/1/1994,54.19467498
2/1/1994,53.96005011
3/1/1994,53.64526207
4/1/1994,53.94685452
5/1/1994,54.43571071
6/1/1994,54.21037662
7/1/1994,54.04197442
8/1/1994,54.17418603
9/1/1994,54.46694227
10/1/1994,54.97486843
11/1/1994,55.23550275
12/1/1994,55.47039328
1/1/1995,55.15024263
2/1/1995,55.24994483
3/1/1995,54.92450037
4/1/1995,54.9716379
5/1/1995,54.57253356
6/1/1995,54.56838709
7/1/1995,55.29119635
8/1/1995,54.99943517
9/1/1995,55.4936225
10/1/1995,55.96083631
11/1/1995,55.58078165
12/1/1995,54.92743113
1/1/1996,55.45180823
2/1/1996,55.56785798
3/1/1996,55.64352744
4/1/1996,55.43047536
5/1/1996,55.58958993
6/1/1996,56.00873324
7/1/1996,56.02426429
8/1/1996,56.25053899
9/1/1996,56.22719414
10/1/1996,56.455982
11/1/1996,56.38019119
12/1/1996,56.27251429
1/1/1997,56.3705008
2/1/1997,56.62538647
3/1/1997,57.14798576
4/1/1997,57.08157496
5/1/1997,57.22775431
6/1/1997,56.71392567
7/1/1997,56.64473771
8/1/1997,57.44458126
9/1/1997,57.25085124
10/1/1997,57.85855956
11/1/1997,58.05899796
12/1/1997,57.63132185
1/1/1998,57.47681694
2/1/1998,57.80529824
3/1/1998,57.6013926
4/1/1998,57.90590128
5/1/1998,58.0111761
6/1/1998,57.61104195
7/1/1998,57.15968975
8/1/1998,57.55039127
9/1/1998,57.83833997
10/1/1998,58.03628996
11/1/1998,57.87389712
12/1/1998,57.90207896
1/1/1999,57.57556447
2/1/1999,57.69350517
3/1/1999,57.9414562
4/1/1999,57.80794976
5/1/1999,57.50673029
6/1/1999,57.67706234
7/1/1999,57.75930741
8/1/1999,58.18190298
9/1/1999,57.736685
10/1/1999,57.61556672
11/1/1999,57.563817
12/1/1999,57.96913077
1/1/2000,57.92376107
2/1/2000,58.15492318
3/1/2000,58.03991402
4/1/2000,57.79480111
5/1/2000,57.46752803
6/1/2000,57.80188026
7/1/2000,57.71628434
8/1/2000,57.90956104
9/1/2000,57.75706805
10/1/2000,57.50525267
11/1/2000,57.26441972
12/1/2000,58.10251424
1/1/2001,58.03662457
2/1/2001,58.17856239
3/1/2001,58.68380638
4/1/2001,58.70530225
5/1/2001,58.92200413
6/1/2001,58.5550683
7/1/2001,58.57120405
8/1/2001,58.51248027
9/1/2001,58.67492814
10/1/2001,58.38238969
11/1/2001,58.64941712
12/1/2001,58.81241417
1/1/2002,58.92887122
2/1/2002,59.20357284
3/1/2002,58.83825014
4/1/2002,58.97979824
5/1/2002,59.2382932
6/1/2002,59.0667263
7/1/2002,59.33893055
8/1/2002,59.42381735
9/1/2002,60.39401009
10/1/2002,60.29796138
11/1/2002,60.30325727
12/1/2002,59.82100137
1/1/2003,60.08439466
2/1/2003,59.95340768
3/1/2003,59.88070448
4/1/2003,59.67365315
5/1/2003,59.64581244
6/1/2003,59.35445187
7/1/2003,59.40156326
8/1/2003,59.68306062
