DATE,LREM25TTUSM156S
11/1/1994,79.80961885
12/1/1994,79.79763834
1/1/1995,79.6323169
2/1/1995,79.92034276
3/1/1995,79.90915171
4/1/1995,79.80029909
5/1/1995,79.68858492
6/1/1995,79.56315202
7/1/1995,79.73693949
8/1/1995,79.63217466
9/1/1995,79.79794683
10/1/1995,79.87025358
11/1/1995,79.74093018
12/1/1995,79.71625434
1/1/1996,79.69804168
2/1/1996,79.88757722
3/1/1996,79.95240866
4/1/1996,79.89454631
5/1/1996,79.94881595
6/1/1996,80.15286038
7/1/1996,80.38265911
8/1/1996,80.52993331
9/1/1996,80.44373468
10/1/1996,80.62202258
11/1/1996,80.50797072
12/1/1996,80.48525732
1/1/1997,80.49548275
2/1/1997,80.39247943
3/1/1997,80.63879636
4/1/1997,80.70324076
5/1/1997,80.61213063
6/1/1997,80.8999568
7/1/1997,81.1281551
8/1/1997,81.25266534
9/1/1997,81.12091209
10/1/1997,81.08641345
11/1/1997,81.02201267
12/1/1997,80.99123185
1/1/1998,80.89170496
2/1/1998,80.95336494
3/1/1998,81.04472968
4/1/1998,81.04027657
5/1/1998,81.04685165
6/1/1998,81.06442482
7/1/1998,81.11350877
8/1/1998,81.16088741
9/1/1998,81.25891005
10/1/1998,81.15611396
11/1/1998,81.2545828
12/1/1998,81.35002079
1/1/1999,81.74398046
2/1/1999,81.43488491
3/1/1999,81.29779267
4/1/1999,81.32977917
5/1/1999,81.44211737
6/1/1999,81.4054008
7/1/1999,81.15788309
8/1/1999,81.23895752
9/1/1999,81.32348335
10/1/1999,81.49444904
11/1/1999,81.64436561
12/1/1999,81.50144398
1/1/2000,81.71522165
2/1/2000,81.73513316
3/1/2000,81.71046675
4/1/2000,81.96180426
5/1/2000,81.58766426
6/1/2000,81.55163045
7/1/2000,81.24640062
8/1/2000,81.08512429
9/1/2000,81.14761234
10/1/2000,81.13866321
11/1/2000,81.35149989
12/1/2000,81.40867988
1/1/2001,81.31764
2/1/2001,81.27257667
3/1/2001,81.25655313
4/1/2001,80.91678198
5/1/2001,80.85154958
6/1/2001,80.60082852
7/1/2001,80.49361302
8/1/2001,80.21592583
9/1/2001,80.18650717
10/1/2001,79.89611574
11/1/2001,79.64425098
12/1/2001,79.76626045
1/1/2002,79.59373512
2/1/2002,79.83361519
3/1/2002,79.6464094
4/1/2002,79.50456734
5/1/2002,79.32482304
6/1/2002,79.18438654
7/1/2002,79.05529892
8/1/2002,79.30568931
9/1/2002,79.34097598
10/1/2002,79.18193461
11/1/2002,78.78034173
12/1/2002,78.99914872
1/1/2003,78.97308501
2/1/2003,78.91012156
3/1/2003,79.00993883
4/1/2003,79.07674124
5/1/2003,78.76645616
6/1/2003,78.88977315
7/1/2003,78.73490779
8/1/2003,78.69354377
9/1/2003,78.56103352
10/1/2003,78.59928692
11/1/2003,78.77061712
12/1/2003,78.8016034
1/1/2004,78.87673464
2/1/2004,78.80108437
3/1/2004,78.75897532
4/1/2004,78.90454183
5/1/2004,78.93601894
6/1/2004,79.0742649
7/1/2004,79.20263266
8/1/2004,79.03157413
9/1/2004,79.02925862
10/1/2004,79.04722706
11/1/2004,79.17510303
12/1/2004,78.98883669
1/1/2005,79.0936439
2/1/2005,79.1377174
3/1/2005,79.08606478
4/1/2005,79.3527555
5/1/2005,79.43724648
6/1/2005,79.22301856
7/1/2005,79.44121076
8/1/2005,79.64436251
9/1/2005,79.47886973
10/1/2005,79.42540913
11/1/2005,79.33123199
12/1/2005,79.40406884
1/1/2006,79.46794894
2/1/2006,79.51120228
3/1/2006,79.66108429
4/1/2006,79.55915043
5/1/2006,79.65421779
6/1/2006,79.76998287
7/1/2006,79.799633
8/1/2006,79.78984166
9/1/2006,79.94410517
10/1/2006,80.26393884
11/1/2006,80.15211375
12/1/2006,80.18211165
1/1/2007,80.15564435
2/1/2007,79.92347833
3/1/2007,80.07637512
4/1/2007,79.93972341
5/1/2007,80.02504882
6/1/2007,79.92621729
7/1/2007,79.77789373
8/1/2007,79.85153517
9/1/2007,79.84207325
10/1/2007,79.75440902
11/1/2007,79.90867404
12/1/2007,79.80852059
1/1/2008,79.81051636
2/1/2008,79.66892259
3/1/2008,79.61819933
4/1/2008,79.59467983
5/1/2008,79.43665591
6/1/2008,79.34145555
7/1/2008,79.20667971
8/1/2008,78.88223064
9/1/2008,78.81796323
10/1/2008,78.57530488
11/1/2008,78.2037706
12/1/2008,77.64564489
1/1/2009,77.06769181
2/1/2009,76.69455033
3/1/2009,76.26344303
4/1/2009,76.13641655
5/1/2009,75.74650365
6/1/2009,75.75470363
7/1/2009,75.76440715
8/1/2009,75.52093291
9/1/2009,75.05391327
10/1/2009,75.02303362
11/1/2009,75.17688527
12/1/2009,74.85931706
1/1/2010,75.27611254
2/1/2010,75.17759866
3/1/2010,75.12970162
4/1/2010,75.30756479
5/1/2010,75.02558008
6/1/2010,75.12415436
7/1/2010,75.08983776
8/1/2010,75.05328851
9/1/2010,75.0637623
10/1/2010,75.06733901
11/1/2010,74.7999181
12/1/2010,75.09906084
1/1/2011,75.19592489
2/1/2011,75.11524819
3/1/2011,75.21179095
4/1/2011,74.99266197
5/1/2011,75.15048468
6/1/2011,74.90268089
7/1/2011,75.07815354
8/1/2011,75.09206831
9/1/2011,74.98071592
10/1/2011,74.99290822
11/1/2011,75.26167638
12/1/2011,75.44705244
1/1/2012,75.51427122
2/1/2012,75.49070568
3/1/2012,75.61651495
4/1/2012,75.6150354
5/1/2012,75.72491638
6/1/2012,75.60635177
7/1/2012,75.70638401
8/1/2012,75.75747672
9/1/2012,76.02233893
10/1/2012,76.14076555
11/1/2012,75.77003394
12/1/2012,75.92874724
1/1/2013,75.58412843
2/1/2013,75.72732725
3/1/2013,75.70728348
4/1/2013,75.81312289
5/1/2013,76.08577759
6/1/2013,75.89658386
7/1/2013,76.1134465
8/1/2013,76.01056113
9/1/2013,76.0318488
10/1/2013,75.62498135
11/1/2013,75.98657286
12/1/2013,76.11875449
1/1/2014,76.36758485
2/1/2014,76.37307405
3/1/2014,76.47407037
4/1/2014,76.44622991
5/1/2014,76.50240924
6/1/2014,76.82989698
7/1/2014,76.75140874
8/1/2014,76.90633559
9/1/2014,76.89189763
10/1/2014,76.94694046
11/1/2014,76.90707589
12/1/2014,77.03556778
1/1/2015,77.06552377
2/1/2015,77.12725708
3/1/2015,77.08422098
4/1/2015,77.20448875
5/1/2015,77.28484454
6/1/2015,77.32632259
7/1/2015,77.17233875
8/1/2015,77.34147984
9/1/2015,77.31612386
10/1/2015,77.22695072
11/1/2015,77.38777356
12/1/2015,77.39595414
1/1/2016,77.65942071
2/1/2016,77.7416929
3/1/2016,77.92217986
4/1/2016,77.75344843
5/1/2016,77.89297905
6/1/2016,77.85246933
7/1/2016,77.98226368
8/1/2016,77.92459271
9/1/2016,78.03135007
10/1/2016,78.13810051
11/1/2016,78.08243883
12/1/2016,78.10578674
1/1/2017,78.14324313
2/1/2017,78.28245504
3/1/2017,78.47412852
4/1/2017,78.60412225
5/1/2017,78.46426003
6/1/2017,78.54435627
7/1/2017,78.67503159
8/1/2017,78.47151599
9/1/2017,78.98996562
10/1/2017,78.82807592
11/1/2017,79.01466419
12/1/2017,79.0558657
1/1/2018,78.87123984
2/1/2018,79.22676086
3/1/2018,79.23000201
4/1/2018,79.2024426
5/1/2018,79.29630959
6/1/2018,79.27304401
7/1/2018,79.49522583
8/1/2018,79.34735751
9/1/2018,79.43627546
10/1/2018,79.71360822
11/1/2018,79.71089893
12/1/2018,79.64171472
1/1/2019,79.7323763
2/1/2019,79.81457819
3/1/2019,79.85461671
4/1/2019,79.79266788
5/1/2019,79.71684138
6/1/2019,79.63056594
7/1/2019,79.47350567
8/1/2019,80.01600434
9/1/2019,80.25853182
10/1/2019,80.37310533
11/1/2019,80.43676699
12/1/2019,80.47914278
1/1/2020,80.50206328
2/1/2020,80.44825855
3/1/2020,79.62392655
4/1/2020,69.674446
5/1/2020,71.30008328
6/1/2020,73.36978431
7/1/2020,73.73166049
8/1/2020,75.23858361
9/1/2020,75.13279749
10/1/2020,76.0360985
