DATE,LNS17100000
2/1/1990,2152
3/1/1990,1964
4/1/1990,1801
5/1/1990,1931
6/1/1990,1945
7/1/1990,1818
8/1/1990,1940
9/1/1990,1764
10/1/1990,2029
11/1/1990,1975
12/1/1990,1963
1/1/1991,2016
2/1/1991,2043
3/1/1991,2091
4/1/1991,2341
5/1/1991,1979
6/1/1991,2199
7/1/1991,2057
8/1/1991,2148
9/1/1991,2247
10/1/1991,2110
11/1/1991,2123
12/1/1991,1936
1/1/1992,2425
2/1/1992,2044
3/1/1992,2117
4/1/1992,2181
5/1/1992,2161
6/1/1992,2217
7/1/1992,2301
8/1/1992,2188
9/1/1992,2241
10/1/1992,2264
11/1/1992,2252
12/1/1992,2247
1/1/1993,2180
2/1/1993,2102
3/1/1993,2181
4/1/1993,2139
5/1/1993,2217
6/1/1993,2119
7/1/1993,2243
8/1/1993,2109
9/1/1993,2023
10/1/1993,2115
11/1/1993,2163
12/1/1993,2212
1/1/1994,2171
2/1/1994,2208
3/1/1994,2194
4/1/1994,2199
5/1/1994,2249
6/1/1994,2039
7/1/1994,2141
8/1/1994,2212
9/1/1994,2166
10/1/1994,2013
11/1/1994,2111
12/1/1994,2235
1/1/1995,2062
2/1/1995,2085
3/1/1995,2044
4/1/1995,2009
5/1/1995,2035
6/1/1995,2075
7/1/1995,2060
8/1/1995,2182
9/1/1995,2062
10/1/1995,2158
11/1/1995,1969
12/1/1995,1899
1/1/1996,2035
2/1/1996,2044
3/1/1996,2022
4/1/1996,1963
5/1/1996,1994
6/1/1996,2039
7/1/1996,2007
8/1/1996,2123
9/1/1996,1976
10/1/1996,2034
11/1/1996,1947
12/1/1996,1935
1/1/1997,2187
2/1/1997,2074
3/1/1997,2056
4/1/1997,1976
5/1/1997,2051
6/1/1997,1990
7/1/1997,2097
8/1/1997,1811
9/1/1997,1836
10/1/1997,1953
11/1/1997,1900
12/1/1997,1997
1/1/1998,1896
2/1/1998,1954
3/1/1998,1876
4/1/1998,2060
5/1/1998,1759
6/1/1998,1892
7/1/1998,1883
8/1/1998,1941
9/1/1998,1942
10/1/1998,1918
11/1/1998,1941
12/1/1998,1882
1/1/1999,1864
2/1/1999,1873
3/1/1999,2039
4/1/1999,1658
5/1/1999,1867
6/1/1999,1827
7/1/1999,1848
8/1/1999,1944
9/1/1999,1871
10/1/1999,1827
11/1/1999,1993
12/1/1999,1944
1/1/2000,2005
2/1/2000,1784
3/1/2000,1893
4/1/2000,1940
5/1/2000,1660
6/1/2000,1850
7/1/2000,1887
8/1/2000,1831
9/1/2000,1875
10/1/2000,1885
11/1/2000,1709
12/1/2000,1699
1/1/2001,1784
2/1/2001,1831
3/1/2001,1892
4/1/2001,1859
5/1/2001,2034
6/1/2001,1910
7/1/2001,1956
8/1/2001,1914
9/1/2001,2045
10/1/2001,1933
11/1/2001,2121
12/1/2001,2109
1/1/2002,2109
2/1/2002,2332
3/1/2002,2195
4/1/2002,2085
5/1/2002,2130
6/1/2002,1997
7/1/2002,2022
8/1/2002,2184
9/1/2002,2178
10/1/2002,2041
11/1/2002,1959
12/1/2002,1977
1/1/2003,2176
2/1/2003,1966
3/1/2003,1998
4/1/2003,2086
5/1/2003,2048
6/1/2003,2114
7/1/2003,2127
8/1/2003,2127
9/1/2003,2051
10/1/2003,2064
11/1/2003,2120
12/1/2003,2247
1/1/2004,2058
2/1/2004,1984
3/1/2004,1925
4/1/2004,2147
5/1/2004,2088
6/1/2004,2032
7/1/2004,2151
8/1/2004,1996
9/1/2004,2138
10/1/2004,2132
11/1/2004,2154
12/1/2004,2080
1/1/2005,2040
2/1/2005,2052
3/1/2005,2060
4/1/2005,2060
5/1/2005,1979
6/1/2005,1978
7/1/2005,1944
8/1/2005,2119
9/1/2005,1852
10/1/2005,1954
11/1/2005,2052
12/1/2005,1968
1/1/2006,2033
2/1/2006,1824
3/1/2006,1952
4/1/2006,1977
5/1/2006,1997
6/1/2006,2022
7/1/2006,2012
8/1/2006,2075
9/1/2006,2081
10/1/2006,1881
11/1/2006,1932
