DATE,LREM25FEUSM156S
1/1/1977,53.8156878
2/1/1977,53.8830844
3/1/1977,54.08918595
4/1/1977,54.34122986
5/1/1977,54.76064791
6/1/1977,54.70920343
7/1/1977,54.90855544
8/1/1977,54.86808229
9/1/1977,55.15662795
10/1/1977,55.23081282
11/1/1977,55.60593307
12/1/1977,55.80894807
1/1/1978,56.15293035
2/1/1978,56.54324063
3/1/1978,56.74764913
4/1/1978,56.9996362
5/1/1978,56.76909067
6/1/1978,57.14743267
7/1/1978,57.03422585
8/1/1978,57.12567462
9/1/1978,57.85901777
10/1/1978,58.37204589
11/1/1978,58.20539343
12/1/1978,58.27404824
1/1/1979,58.09106843
2/1/1979,58.30456145
3/1/1979,58.45919964
4/1/1979,58.36572707
5/1/1979,58.43371236
6/1/1979,58.56526856
7/1/1979,59.19619522
8/1/1979,59.3405052
9/1/1979,59.78140766
10/1/1979,59.82073152
11/1/1979,59.77961713
12/1/1979,60.33214441
1/1/1980,60.36463353
2/1/1980,60.33631976
3/1/1980,60.34633677
4/1/1980,60.34916542
5/1/1980,60.00085444
6/1/1980,59.86472798
7/1/1980,59.73982206
8/1/1980,59.82319251
9/1/1980,60.20938883
10/1/1980,60.02828462
11/1/1980,60.31109229
12/1/1980,60.38587441
1/1/1981,60.65196637
2/1/1981,61.0282817
3/1/1981,61.18020641
4/1/1981,61.36947263
5/1/1981,61.37324302
6/1/1981,61.2354969
7/1/1981,61.24738034
8/1/1981,61.16838467
9/1/1981,60.81796227
10/1/1981,61.29857003
11/1/1981,61.42165231
12/1/1981,61.20537111
1/1/1982,61.300089
2/1/1982,61.38545319
3/1/1982,61.13288812
4/1/1982,60.92858671
5/1/1982,61.16299223
6/1/1982,61.36609435
7/1/1982,61.47947297
8/1/1982,61.49061375
9/1/1982,61.22458981
10/1/1982,61.11921095
11/1/1982,60.86737126
12/1/1982,60.94536789
1/1/1983,61.23060423
2/1/1983,61.07667999
3/1/1983,61.09150357
4/1/1983,61.44222501
5/1/1983,61.30617423
6/1/1983,61.65201062
7/1/1983,62.02277715
8/1/1983,62.56542265
9/1/1983,62.82461313
10/1/1983,62.6855728
11/1/1983,62.97028202
12/1/1983,62.85385322
1/1/1984,62.88048553
2/1/1984,63.19189299
3/1/1984,63.40747765
4/1/1984,63.68976136
5/1/1984,64.38589363
6/1/1984,64.28149303
7/1/1984,64.13245507
8/1/1984,64.24323696
9/1/1984,64.02685788
10/1/1984,64.17519526
11/1/1984,64.20407385
12/1/1984,64.40934502
1/1/1985,64.78607195
2/1/1985,64.89855118
3/1/1985,65.22089133
4/1/1985,65.15866412
5/1/1985,64.82938412
6/1/1985,65.09454333
7/1/1985,65.02698549
8/1/1985,65.29748774
9/1/1985,65.74412519
10/1/1985,65.70451098
11/1/1985,65.90216532
12/1/1985,66.08981018
1/1/1986,66.24496526
2/1/1986,65.80357583
3/1/1986,65.98690041
4/1/1986,66.05649574
5/1/1986,66.21635532
6/1/1986,66.4539028
7/1/1986,66.83682657
8/1/1986,66.85232976
9/1/1986,67.13111878
10/1/1986,67.48047127
11/1/1986,67.16927204
12/1/1986,67.36918775
1/1/1987,67.18322535
2/1/1987,67.51777099
3/1/1987,67.70135751
4/1/1987,68.05540422
5/1/1987,68.40230799
6/1/1987,68.30037839
7/1/1987,68.42604303
8/1/1987,68.41392128
9/1/1987,68.53427803
10/1/1987,68.67887609
11/1/1987,68.76274511
12/1/1987,68.77442649
1/1/1988,68.73199229
2/1/1988,68.71022102
3/1/1988,69.16075466
4/1/1988,69.05951608
5/1/1988,69.16172061
6/1/1988,69.10467025
7/1/1988,69.2255674
8/1/1988,69.38310945
9/1/1988,69.36437491
10/1/1988,69.73340092
11/1/1988,70.16499895
12/1/1988,70.16152433
1/1/1989,70.53956238
2/1/1989,70.45309643
3/1/1989,70.16428333
4/1/1989,70.29024603
5/1/1989,70.16608363
6/1/1989,70.06994747
7/1/1989,70.08299333
8/1/1989,70.14890331
9/1/1989,70.58455009
10/1/1989,70.50379682
11/1/1989,70.87512452
12/1/1989,70.66795855
1/1/1990,70.87911555
2/1/1990,70.77151549
3/1/1990,70.73181843
4/1/1990,70.70955665
5/1/1990,70.9447678
6/1/1990,70.82694785
7/1/1990,70.75662701
8/1/1990,70.59153574
9/1/1990,70.33574919
10/1/1990,70.27755269
11/1/1990,70.00989062
12/1/1990,70.10093758
1/1/1991,69.87526115
2/1/1991,70.10372606
3/1/1991,69.92801481
4/1/1991,70.33634395
5/1/1991,70.14617334
6/1/1991,70.34135631
7/1/1991,70.27747875
8/1/1991,70.07029612
9/1/1991,69.94760002
10/1/1991,69.93690383
11/1/1991,69.83093178
12/1/1991,69.89833183
1/1/1992,70.16907712
2/1/1992,70.04228129
3/1/1992,69.94303021
4/1/1992,70.22129947
5/1/1992,70.25370224
6/1/1992,70.49694262
7/1/1992,70.32539284
8/1/1992,70.24797723
9/1/1992,69.91837141
10/1/1992,69.88868977
11/1/1992,70.01057252
12/1/1992,69.91623476
1/1/1993,70.0037668
2/1/1993,69.97364284
3/1/1993,70.26595435
4/1/1993,69.93979816
5/1/1993,70.18005875
6/1/1993,70.49193153
7/1/1993,70.44014434
8/1/1993,70.58711512
9/1/1993,70.34873671
10/1/1993,70.48596509
11/1/1993,70.6673696
12/1/1993,70.9613394
1/1/1994,71.03587737
2/1/1994,71.29108686
3/1/1994,71.06125298
4/1/1994,71.11250285
5/1/1994,71.28046752
6/1/1994,71.00931824
7/1/1994,71.46552303
8/1/1994,71.71760313
9/1/1994,72.03925464
10/1/1994,71.9635103
11/1/1994,72.08008174
12/1/1994,71.86197991
1/1/1995,71.82146563
2/1/1995,72.15758933
3/1/1995,72.0774669
4/1/1995,72.13831053
5/1/1995,72.0585449
6/1/1995,71.76731757
7/1/1995,72.24994956
8/1/1995,72.14588899
9/1/1995,72.28674417
10/1/1995,72.40005464
11/1/1995,72.67739654
12/1/1995,72.4799702
1/1/1996,72.31104929
2/1/1996,72.41734397
3/1/1996,72.56737445
4/1/1996,72.50541486
5/1/1996,72.49669511
6/1/1996,72.72083699
7/1/1996,72.92006128
8/1/1996,72.98981391
9/1/1996,73.03877034
10/1/1996,73.17234965
11/1/1996,73.12399718
12/1/1996,72.96444875
1/1/1997,73.15647405
2/1/1997,72.89527882
3/1/1997,73.23776707
4/1/1997,73.44647102
5/1/1997,73.27292795
6/1/1997,73.62559379
7/1/1997,73.86701675
8/1/1997,74.02406335
9/1/1997,73.9041417
10/1/1997,73.83965942
11/1/1997,73.59046177
12/1/1997,73.68035006
1/1/1998,73.38972429
2/1/1998,73.4614778
3/1/1998,73.52571909
4/1/1998,73.40032913
5/1/1998,73.49715271
