DATE,LNS12000150
1/1/1955,33176
2/1/1955,33239
3/1/1955,33240
4/1/1955,33232
5/1/1955,33581
6/1/1955,33551
7/1/1955,33969
8/1/1955,33696
9/1/1955,33625
10/1/1955,33524
11/1/1955,33644
12/1/1955,33860
1/1/1956,33902
2/1/1956,33827
3/1/1956,33901
4/1/1956,34102
5/1/1956,33975
6/1/1956,33983
7/1/1956,34087
8/1/1956,34191
9/1/1956,34081
10/1/1956,34082
11/1/1956,34272
12/1/1956,34211
1/1/1957,34350
2/1/1957,34590
3/1/1957,34746
4/1/1957,34516
5/1/1957,34433
6/1/1957,34444
7/1/1957,34305
8/1/1957,34296
9/1/1957,34234
10/1/1957,34353
11/1/1957,34183
12/1/1957,34114
1/1/1958,33952
2/1/1958,33889
3/1/1958,33677
4/1/1958,33640
5/1/1958,33693
6/1/1958,33682
7/1/1958,33629
8/1/1958,33675
9/1/1958,33878
10/1/1958,34007
11/1/1958,34096
12/1/1958,34104
1/1/1959,34147
2/1/1959,34101
3/1/1959,34397
4/1/1959,34467
5/1/1959,34449
6/1/1959,34625
7/1/1959,34782
8/1/1959,34666
9/1/1959,34655
10/1/1959,34556
11/1/1959,34446
12/1/1959,34778
1/1/1960,34955
2/1/1960,35000
3/1/1960,34590
4/1/1960,34663
5/1/1960,34581
6/1/1960,34473
7/1/1960,34565
8/1/1960,34531
9/1/1960,34649
10/1/1960,34591
11/1/1960,34585
12/1/1960,34467
1/1/1961,34526
2/1/1961,34385
3/1/1961,34543
4/1/1961,34475
5/1/1961,34505
6/1/1961,34611
7/1/1961,34499
8/1/1961,34531
9/1/1961,34540
10/1/1961,34772
11/1/1961,34752
12/1/1961,34818
1/1/1962,34782
2/1/1962,35007
3/1/1962,35014
4/1/1962,35125
5/1/1962,35413
6/1/1962,35408
7/1/1962,35276
8/1/1962,35354
9/1/1962,35376
10/1/1962,35311
11/1/1962,35255
12/1/1962,35238
1/1/1963,35172
2/1/1963,35181
3/1/1963,35366
4/1/1963,35334
5/1/1963,35325
6/1/1963,35510
7/1/1963,35695
8/1/1963,35770
9/1/1963,35915
10/1/1963,35886
11/1/1963,35859
12/1/1963,35727
1/1/1964,35744
2/1/1964,35764
3/1/1964,35788
4/1/1964,35999
5/1/1964,36170
6/1/1964,35971
7/1/1964,36209
8/1/1964,36228
9/1/1964,36190
10/1/1964,36146
11/1/1964,36347
12/1/1964,36310
1/1/1965,36370
2/1/1965,36446
3/1/1965,36495
4/1/1965,36517
5/1/1965,36681
6/1/1965,36597
7/1/1965,36514
8/1/1965,36492
9/1/1965,36492
10/1/1965,36585
11/1/1965,36616
12/1/1965,36799
1/1/1966,36992
2/1/1966,37052
3/1/1966,37053
4/1/1966,37143
5/1/1966,37058
6/1/1966,36979
7/1/1966,36790
8/1/1966,36750
9/1/1966,37010
10/1/1966,37071
11/1/1966,37100
12/1/1966,37182
1/1/1967,37353
2/1/1967,37306
3/1/1967,37271
4/1/1967,37269
5/1/1967,37255
6/1/1967,37311
7/1/1967,37381
8/1/1967,37418
9/1/1967,37506
10/1/1967,37590
11/1/1967,37674
12/1/1967,37712
1/1/1968,37581
2/1/1968,37548
3/1/1968,37506
4/1/1968,37602
5/1/1968,37644
6/1/1968,37744
7/1/1968,37831
8/1/1968,37864
9/1/1968,37853
10/1/1968,37859
11/1/1968,37812
12/1/1968,37941
1/1/1969,37890
2/1/1969,37991
3/1/1969,37985
4/1/1969,37880
5/1/1969,38010
6/1/1969,38046
7/1/1969,38031
8/1/1969,38031
9/1/1969,37921
10/1/1969,38014
11/1/1969,38122
12/1/1969,38080
1/1/1970,38170
2/1/1970,38200
3/1/1970,38226
4/1/1970,38197
5/1/1970,38131
6/1/1970,37946
7/1/1970,37835
8/1/1970,37674
9/1/1970,37808
10/1/1970,37891
11/1/1970,37889
12/1/1970,37809
1/1/1971,37798
2/1/1971,37816
3/1/1971,37840
4/1/1971,37925
5/1/1971,37959
6/1/1971,38083
7/1/1971,38171
8/1/1971,38158
9/1/1971,38272
10/1/1971,38139
11/1/1971,38017
12/1/1971,37991
1/1/1972,38236
2/1/1972,38271
3/1/1972,38417
4/1/1972,38495
5/1/1972,38551
6/1/1972,38603
7/1/1972,38673
8/1/1972,38752
9/1/1972,38779
10/1/1972,38650
11/1/1972,38794
12/1/1972,38944
1/1/1973,38938
2/1/1973,39047
3/1/1973,39160
