DATE,LNS17400000
2/1/1990,1823
3/1/1990,1764
4/1/1990,1873
5/1/1990,1676
6/1/1990,1771
7/1/1990,1941
8/1/1990,1877
9/1/1990,1752
10/1/1990,1902
11/1/1990,2034
12/1/1990,1874
1/1/1991,1978
2/1/1991,2084
3/1/1991,2130
4/1/1991,1956
5/1/1991,2077
6/1/1991,1909
7/1/1991,1947
8/1/1991,2043
9/1/1991,1959
10/1/1991,2019
11/1/1991,1935
12/1/1991,1975
1/1/1992,2150
2/1/1992,2035
3/1/1992,1773
4/1/1992,1915
5/1/1992,2028
6/1/1992,2057
7/1/1992,1940
8/1/1992,1950
9/1/1992,2087
10/1/1992,1923
11/1/1992,1994
12/1/1992,2019
1/1/1993,1818
2/1/1993,1903
3/1/1993,1930
4/1/1993,1894
5/1/1993,1895
6/1/1993,1872
7/1/1993,1925
8/1/1993,1807
9/1/1993,1852
10/1/1993,1852
11/1/1993,1807
12/1/1993,1932
1/1/1994,1884
2/1/1994,1898
3/1/1994,1852
4/1/1994,1898
5/1/1994,1776
6/1/1994,1875
7/1/1994,1910
8/1/1994,1848
9/1/1994,1783
10/1/1994,1606
11/1/1994,1791
12/1/1994,1867
1/1/1995,1969
2/1/1995,1700
3/1/1995,1829
4/1/1995,1873
5/1/1995,1784
6/1/1995,1871
7/1/1995,1820
8/1/1995,1910
9/1/1995,1895
10/1/1995,1857
11/1/1995,1798
12/1/1995,1657
1/1/1996,1867
2/1/1996,1677
3/1/1996,1752
4/1/1996,1750
5/1/1996,1787
6/1/1996,1754
7/1/1996,1765
8/1/1996,1634
9/1/1996,1792
10/1/1996,1666
11/1/1996,1849
12/1/1996,1604
1/1/1997,1863
2/1/1997,1789
3/1/1997,1650
4/1/1997,1724
5/1/1997,1639
6/1/1997,1865
7/1/1997,1685
8/1/1997,1578
9/1/1997,1667
10/1/1997,1691
11/1/1997,1596
12/1/1997,1880
1/1/1998,1685
2/1/1998,1750
3/1/1998,1781
4/1/1998,1586
5/1/1998,1656
6/1/1998,1661
7/1/1998,1739
8/1/1998,1684
9/1/1998,1758
10/1/1998,1684
11/1/1998,1643
12/1/1998,1751
1/1/1999,1576
2/1/1999,1736
3/1/1999,1591
4/1/1999,1682
5/1/1999,1685
6/1/1999,1662
7/1/1999,1611
8/1/1999,1603
9/1/1999,1527
10/1/1999,1613
11/1/1999,1613
12/1/1999,1620
1/1/2000,1614
2/1/2000,1678
3/1/2000,1646
4/1/2000,1532
5/1/2000,1688
6/1/2000,1597
7/1/2000,1751
8/1/2000,1718
9/1/2000,1643
10/1/2000,1549
11/1/2000,1444
12/1/2000,1472
1/1/2001,1758
2/1/2001,1729
3/1/2001,1782
4/1/2001,1827
5/1/2001,1810
6/1/2001,1877
7/1/2001,1833
8/1/2001,1946
9/1/2001,1823
10/1/2001,2025
11/1/2001,2109
12/1/2001,1986
1/1/2002,2130
2/1/2002,1950
3/1/2002,1884
4/1/2002,2008
5/1/2002,1797
6/1/2002,1989
7/1/2002,1935
8/1/2002,1934
9/1/2002,1878
10/1/2002,2004
11/1/2002,2050
12/1/2002,1911
1/1/2003,2008
2/1/2003,1886
3/1/2003,1959
4/1/2003,1978
5/1/2003,2000
6/1/2003,1949
7/1/2003,1882
8/1/2003,2041
9/1/2003,1931
10/1/2003,1733
11/1/2003,1832
12/1/2003,1922
1/1/2004,1729
2/1/2004,1806
3/1/2004,1857
4/1/2004,1787
5/1/2004,1851
6/1/2004,1777
7/1/2004,1823
8/1/2004,1858
9/1/2004,1907
10/1/2004,1890
11/1/2004,1801
12/1/2004,1848
1/1/2005,1814
2/1/2005,1853
3/1/2005,1730
4/1/2005,1692
5/1/2005,1738
6/1/2005,1822
7/1/2005,1783
8/1/2005,1769
9/1/2005,1853
10/1/2005,1736
11/1/2005,1685
12/1/2005,1732
1/1/2006,1595
2/1/2006,1692
3/1/2006,1728
4/1/2006,1882
5/1/2006,1754
6/1/2006,1752
7/1/2006,1900
8/1/2006,1725
9/1/2006,1761
10/1/2006,1749
11/1/2006,1814
12/1/2006,1820
1/1/2007,1917
2/1/2007,1833
3/1/2007,1701
4/1/2007,1763
5/1/2007,1712
6/1/2007,1774
7/1/2007,1843
8/1/2007,1714
9/1/2007,1795
10/1/2007,1818
11/1/2007,1725
12/1/2007,1866
1/1/2008,1780
2/1/2008,1817
3/1/2008,2005
4/1/2008,1915
5/1/2008,2054
6/1/2008,1996
7/1/2008,1967
8/1/2008,2288
9/1/2008,2140
10/1/2008,2259
11/1/2008,2506
12/1/2008,2519
1/1/2009,2755
2/1/2009,2834
3/1/2009,2647
4/1/2009,2484
5/1/2009,2649
6/1/2009,2550
7/1/2009,2463
8/1/2009,2560
9/1/2009,2621
10/1/2009,2516
11/1/2009,2294
12/1/2009,2373
1/1/2010,2228
2/1/2010,2341
3/1/2010,2310
4/1/2010,2274
5/1/2010,2349
6/1/2010,2164
7/1/2010,2296
8/1/2010,2396
9/1/2010,2231
10/1/2010,2232
11/1/2010,2601
12/1/2010,2206
1/1/2011,2152
2/1/2011,2043
3/1/2011,2132
4/1/2011,2268
5/1/2011,2212
6/1/2011,2135
7/1/2011,2105
8/1/2011,2016
9/1/2011,2408
10/1/2011,2123
11/1/2011,2139
12/1/2011,2093
1/1/2012,1956
2/1/2012,1989
3/1/2012,2104
4/1/2012,1994
5/1/2012,1950
6/1/2012,2024
7/1/2012,2116
8/1/2012,2059
9/1/2012,1943
10/1/2012,1972
11/1/2012,1959
12/1/2012,2204
1/1/2013,2144
2/1/2013,1824
3/1/2013,1917
4/1/2013,2013
5/1/2013,1930
6/1/2013,2092
7/1/2013,1900
8/1/2013,1947
9/1/2013,1910
10/1/2013,2198
11/1/2013,1550
12/1/2013,1767
1/1/2014,2016
2/1/2014,1994
3/1/2014,1903
4/1/2014,1797
5/1/2014,1937
6/1/2014,1834
7/1/2014,1886
8/1/2014,1991
9/1/2014,1697
10/1/2014,1723
11/1/2014,1948
12/1/2014,1752
1/1/2015,1791
2/1/2015,1837
3/1/2015,1794
4/1/2015,1830
5/1/2015,1847
6/1/2015,1697
7/1/2015,1663
8/1/2015,1672
9/1/2015,1783
10/1/2015,1678
11/1/2015,1731
12/1/2015,1786
1/1/2016,1660
2/1/2016,1555
3/1/2016,1793
4/1/2016,1713
5/1/2016,1760
6/1/2016,1757
7/1/2016,1652
8/1/2016,1709
9/1/2016,1730
10/1/2016,1749
11/1/2016,1765
12/1/2016,1757
1/1/2017,1722
2/1/2017,1727
3/1/2017,1553
4/1/2017,1639
5/1/2017,1658
6/1/2017,1693
7/1/2017,1636
8/1/2017,1739
9/1/2017,1621
10/1/2017,1606
11/1/2017,1603
12/1/2017,1611
1/1/2018,1549
2/1/2018,1557
3/1/2018,1653
4/1/2018,1576
5/1/2018,1439
6/1/2018,1474
7/1/2018,1549
8/1/2018,1612
9/1/2018,1499
10/1/2018,1495
