DATE,CES6562000101
1/1/1990,8012.2
2/1/1990,8048.2
3/1/1990,8091.1
4/1/1990,8122.2
5/1/1990,8161.2
6/1/1990,8201.8
7/1/1990,8234.4
8/1/1990,8268.6
9/1/1990,8299.5
10/1/1990,8329.6
11/1/1990,8360.2
12/1/1990,8395.2
1/1/1991,8440.5
2/1/1991,8470.5
3/1/1991,8503.9
4/1/1991,8536.8
5/1/1991,8560.5
6/1/1991,8602.3
7/1/1991,8633.3
8/1/1991,8673.1
9/1/1991,8704.3
10/1/1991,8732.7
11/1/1991,8759.8
12/1/1991,8796.4
1/1/1992,8827.2
2/1/1992,8849.9
3/1/1992,8870.5
4/1/1992,8892.1
5/1/1992,8916.7
6/1/1992,8939.7
7/1/1992,8967.4
8/1/1992,8984.6
9/1/1992,9004.7
10/1/1992,9036
11/1/1992,9067.4
12/1/1992,9091.4
1/1/1993,9117.9
2/1/1993,9145.1
3/1/1993,9159.6
4/1/1993,9189.3
5/1/1993,9224
6/1/1993,9245.7
7/1/1993,9266.8
8/1/1993,9291.1
9/1/1993,9322.1
10/1/1993,9342.6
11/1/1993,9358.8
12/1/1993,9378.5
1/1/1994,9401.6
2/1/1994,9414.3
3/1/1994,9446.4
4/1/1994,9474.3
5/1/1994,9495.8
6/1/1994,9517.4
7/1/1994,9546.6
8/1/1994,9572.4
9/1/1994,9592.3
10/1/1994,9610.8
11/1/1994,9627.9
12/1/1994,9658.1
1/1/1995,9680.1
2/1/1995,9706.7
3/1/1995,9732.3
4/1/1995,9750.8
5/1/1995,9764.1
6/1/1995,9794.8
7/1/1995,9816.1
8/1/1995,9844.6
9/1/1995,9869.7
10/1/1995,9888.1
11/1/1995,9917.1
12/1/1995,9943.1
1/1/1996,9951.1
2/1/1996,9987.9
3/1/1996,10015.2
4/1/1996,10037.3
5/1/1996,10064.2
6/1/1996,10086.1
7/1/1996,10108.2
8/1/1996,10127.9
9/1/1996,10148.8
10/1/1996,10172.8
11/1/1996,10199.4
12/1/1996,10217.4
1/1/1997,10246.7
2/1/1997,10265.4
3/1/1997,10286
4/1/1997,10315.4
5/1/1997,10342.5
6/1/1997,10349.1
7/1/1997,10374.4
8/1/1997,10387.7
9/1/1997,10401.8
10/1/1997,10424.3
11/1/1997,10438.7
12/1/1997,10466.3
1/1/1998,10469.4
2/1/1998,10481.7
3/1/1998,10492
4/1/1998,10504.1
5/1/1998,10523.3
6/1/1998,10536.7
7/1/1998,10543
8/1/1998,10555.3
9/1/1998,10573.9
10/1/1998,10590.8
11/1/1998,10599.2
12/1/1998,10610.8
1/1/1999,10615.8
2/1/1999,10638.6
3/1/1999,10652.7
4/1/1999,10670.8
5/1/1999,10676.8
6/1/1999,10687.8
7/1/1999,10695.5
8/1/1999,10709.9
9/1/1999,10717.5
10/1/1999,10727.6
11/1/1999,10741.7
12/1/1999,10756.9
1/1/2000,10767.5
2/1/2000,10780.7
3/1/2000,10791
4/1/2000,10799.7
5/1/2000,10813.9
6/1/2000,10836.2
7/1/2000,10864.1
8/1/2000,10882.6
9/1/2000,10907.6
10/1/2000,10925.3
11/1/2000,10946.9
12/1/2000,10976.2
1/1/2001,11013.6
2/1/2001,11047.2
3/1/2001,11074.3
4/1/2001,11102.4
5/1/2001,11130.4
6/1/2001,11173
7/1/2001,11211.9
8/1/2001,11245.9
9/1/2001,11270.7
10/1/2001,11295.9
11/1/2001,11326.1
