DATE,CES4348100001
1/1/1990,508.8
2/1/1990,513.7
3/1/1990,518.5
4/1/1990,523.8
5/1/1990,527.4
6/1/1990,531.3
7/1/1990,532.2
8/1/1990,536
9/1/1990,538.4
10/1/1990,541.1
11/1/1990,540.6
12/1/1990,540.5
1/1/1991,533.3
2/1/1991,532.8
3/1/1991,529.2
4/1/1991,528.5
5/1/1991,528.4
6/1/1991,525.8
7/1/1991,525.9
8/1/1991,524.9
9/1/1991,523.7
10/1/1991,523
11/1/1991,521.7
12/1/1991,513.9
1/1/1992,519.3
2/1/1992,519.8
3/1/1992,521.2
4/1/1992,521.4
5/1/1992,520.6
6/1/1992,520.8
7/1/1992,520.7
8/1/1992,521.6
9/1/1992,518.2
10/1/1992,518
11/1/1992,518.3
12/1/1992,515.9
1/1/1993,518.8
2/1/1993,518.6
3/1/1993,517.1
4/1/1993,515.3
5/1/1993,517.3
6/1/1993,517.1
7/1/1993,516
8/1/1993,515.9
9/1/1993,516.6
10/1/1993,515.8
11/1/1993,515.6
12/1/1993,515.8
1/1/1994,515.7
2/1/1994,514.7
3/1/1994,514.5
4/1/1994,513.4
5/1/1994,512.3
6/1/1994,511.1
7/1/1994,511
8/1/1994,510.7
9/1/1994,509.1
10/1/1994,506.4
11/1/1994,507.4
12/1/1994,507.2
1/1/1995,507.8
2/1/1995,509.5
3/1/1995,511.4
4/1/1995,509.8
5/1/1995,508.1
6/1/1995,509.3
7/1/1995,509.5
8/1/1995,510.1
9/1/1995,511.7
10/1/1995,513.5
11/1/1995,515.2
12/1/1995,515.7
1/1/1996,518.4
2/1/1996,521.1
3/1/1996,523.3
4/1/1996,522
5/1/1996,524.2
6/1/1996,524.8
7/1/1996,526.5
8/1/1996,527.4
9/1/1996,527.8
10/1/1996,529.6
11/1/1996,531.9
12/1/1996,534.6
1/1/1997,535.2
2/1/1997,536
3/1/1997,539.1
4/1/1997,539
5/1/1997,539.5
6/1/1997,541.1
7/1/1997,541.2
8/1/1997,543.4
9/1/1997,544.9
10/1/1997,547.2
11/1/1997,548.6
12/1/1997,550.1
1/1/1998,551.2
2/1/1998,553.1
3/1/1998,554.4
4/1/1998,558
5/1/1998,560.8
6/1/1998,562.3
7/1/1998,564.9
8/1/1998,566.3
9/1/1998,568.2
10/1/1998,568.2
11/1/1998,569.8
12/1/1998,571.7
1/1/1999,574.3
2/1/1999,575
3/1/1999,576.5
4/1/1999,577.6
5/1/1999,580.6
6/1/1999,584
7/1/1999,586.6
8/1/1999,589.2
9/1/1999,592.2
10/1/1999,595.2
11/1/1999,597.8
12/1/1999,600.6
1/1/2000,604.5
2/1/2000,608.5
3/1/2000,610.3
4/1/2000,609
5/1/2000,611.5
6/1/2000,612.6
7/1/2000,612.1
8/1/2000,614.1
9/1/2000,616.9
10/1/2000,620.8
11/1/2000,624.6
12/1/2000,628.3
1/1/2001,631.8
2/1/2001,633.4
3/1/2001,633.6
4/1/2001,632.4
5/1/2001,628.9
6/1/2001,625.1
7/1/2001,625.5
8/1/2001,622.6
9/1/2001,619.2
10/1/2001,601.2
11/1/2001,570.3
12/1/2001,560
1/1/2002,556.9
2/1/2002,558.2
3/1/2002,557.3
4/1/2002,558
5/1/2002,562.8
6/1/2002,567.3
7/1/2002,570.4
8/1/2002,568.8
9/1/2002,567.3
10/1/2002,565.8
11/1/2002,565.9
12/1/2002,565.4
1/1/2003,563.9
2/1/2003,556
3/1/2003,548.7
4/1/2003,536.9
5/1/2003,528.6
6/1/2003,520.4
7/1/2003,515.1
8/1/2003,514.5
9/1/2003,514.3
10/1/2003,512.5
11/1/2003,515.1
12/1/2003,517.3
1/1/2004,514.6
2/1/2004,515.4
3/1/2004,516.5
4/1/2004,516.5
5/1/2004,516.5
6/1/2004,515.1
7/1/2004,514.5
8/1/2004,512.6
9/1/2004,512.8
10/1/2004,512.9
11/1/2004,513.7
12/1/2004,511.9
1/1/2005,509.1
2/1/2005,508.3
3/1/2005,506.8
4/1/2005,507.2
5/1/2005,506.8
6/1/2005,506.2
7/1/2005,503.9
8/1/2005,500.3
9/1/2005,494.1
10/1/2005,492.8
11/1/2005,487.9
12/1/2005,484.9
1/1/2006,487.2
2/1/2006,485.8
3/1/2006,485.4
4/1/2006,486.4
5/1/2006,484.7
6/1/2006,485.3
7/1/2006,486.5
8/1/2006,486.8
9/1/2006,489.8
10/1/2006,490.4
11/1/2006,485.1
12/1/2006,491.8
1/1/2007,489.9
2/1/2007,482.4
3/1/2007,485.5
4/1/2007,492
5/1/2007,483.9
6/1/2007,491.9
7/1/2007,492.3
8/1/2007,493.7
9/1/2007,495.2
10/1/2007,495.6
11/1/2007,497.2
12/1/2007,499.5
1/1/2008,501.2
2/1/2008,504.8
3/1/2008,503.3
