DATE,LNS12027659
1/1/1992,12266
2/1/1992,12087
3/1/1992,12002
4/1/1992,11952
5/1/1992,11850
6/1/1992,11974
7/1/1992,12142
8/1/1992,11739
9/1/1992,11659
10/1/1992,11550
11/1/1992,11494
12/1/1992,11423
1/1/1993,11362
2/1/1993,11442
3/1/1993,11364
4/1/1993,11221
5/1/1993,11178
6/1/1993,11155
7/1/1993,11430
8/1/1993,11225
9/1/1993,11064
10/1/1993,11129
11/1/1993,10975
12/1/1993,10893
1/1/1994,10854
2/1/1994,11036
3/1/1994,10935
4/1/1994,10977
5/1/1994,11037
6/1/1994,11000
7/1/1994,11019
8/1/1994,11008
9/1/1994,11133
10/1/1994,11192
11/1/1994,11230
12/1/1994,11244
1/1/1995,11076
2/1/1995,10991
3/1/1995,10968
4/1/1995,11054
5/1/1995,10968
6/1/1995,10847
7/1/1995,10751
8/1/1995,10654
9/1/1995,10965
10/1/1995,11016
11/1/1995,11028
12/1/1995,11030
1/1/1996,11187
2/1/1996,11228
3/1/1996,11294
4/1/1996,11281
5/1/1996,11252
6/1/1996,11292
7/1/1996,11304
8/1/1996,11352
9/1/1996,11348
10/1/1996,11344
11/1/1996,11399
12/1/1996,11498
1/1/1997,11499
2/1/1997,11445
3/1/1997,11689
4/1/1997,11521
5/1/1997,11586
6/1/1997,11521
7/1/1997,11617
8/1/1997,11535
9/1/1997,11485
10/1/1997,11470
11/1/1997,11560
12/1/1997,11599
1/1/1998,11714
2/1/1998,11727
3/1/1998,11636
4/1/1998,11773
5/1/1998,11858
6/1/1998,11879
7/1/1998,11646
8/1/1998,11508
9/1/1998,11645
10/1/1998,11444
11/1/1998,11541
12/1/1998,11708
1/1/1999,11466
2/1/1999,11342
3/1/1999,11384
4/1/1999,10995
5/1/1999,11059
6/1/1999,11240
7/1/1999,11190
8/1/1999,11407
9/1/1999,11294
10/1/1999,11375
11/1/1999,11454
12/1/1999,11336
1/1/2000,11557
2/1/2000,11711
3/1/2000,11419
4/1/2000,11460
5/1/2000,11341
6/1/2000,11647
7/1/2000,11886
8/1/2000,12064
9/1/2000,12058
10/1/2000,11891
11/1/2000,11710
12/1/2000,11557
1/1/2001,11601
2/1/2001,11612
3/1/2001,11659
4/1/2001,11814
5/1/2001,11752
6/1/2001,11734
7/1/2001,11860
8/1/2001,11602
9/1/2001,11508
10/1/2001,11668
11/1/2001,11535
12/1/2001,11646
1/1/2002,11599
2/1/2002,11652
3/1/2002,11636
4/1/2002,11744
5/1/2002,11702
6/1/2002,11803
7/1/2002,11394
8/1/2002,11344
9/1/2002,11403
10/1/2002,11389
11/1/2002,11336
12/1/2002,11385
1/1/2003,11474
2/1/2003,11500
3/1/2003,11773
4/1/2003,11719
5/1/2003,11551
6/1/2003,11328
7/1/2003,11431
8/1/2003,11427
9/1/2003,11459
10/1/2003,11577
11/1/2003,11603
12/1/2003,11617
1/1/2004,11220
2/1/2004,11413
3/1/2004,11320
4/1/2004,11041
5/1/2004,11154
6/1/2004,11215
7/1/2004,11386
8/1/2004,11504
9/1/2004,11629
10/1/2004,11523
11/1/2004,11716
12/1/2004,11814
1/1/2005,11576
2/1/2005,11572
3/1/2005,11560
4/1/2005,11474
5/1/2005,11778
6/1/2005,11965
7/1/2005,12197
8/1/2005,11868
9/1/2005,11728
10/1/2005,11625
11/1/2005,11664
12/1/2005,11540
1/1/2006,11732
2/1/2006,11806
3/1/2006,11819
4/1/2006,11913
5/1/2006,12006
6/1/2006,11912
7/1/2006,11893
8/1/2006,11933
9/1/2006,11888
10/1/2006,12015
11/1/2006,11859
12/1/2006,11913
1/1/2007,11962
2/1/2007,12234
3/1/2007,12161
4/1/2007,11749
5/1/2007,11570
6/1/2007,11171
7/1/2007,11212
8/1/2007,11217
9/1/2007,11229
10/1/2007,11198
11/1/2007,11254
12/1/2007,11319
1/1/2008,11393
2/1/2008,11334
3/1/2008,11174
4/1/2008,11191
5/1/2008,11150
6/1/2008,11057
7/1/2008,11012
8/1/2008,10961
9/1/2008,10901
10/1/2008,11074
11/1/2008,10851
12/1/2008,10749
1/1/2009,10647
2/1/2009,10557
3/1/2009,10484
4/1/2009,10251
5/1/2009,10341
6/1/2009,10391
7/1/2009,10400
8/1/2009,10375
9/1/2009,10392
10/1/2009,10246
11/1/2009,10185
12/1/2009,10145
1/1/2010,10149
2/1/2010,9816
3/1/2010,10096
4/1/2010,10296
5/1/2010,10339
6/1/2010,10377
7/1/2010,10297
8/1/2010,10144
9/1/2010,9960
10/1/2010,9969
11/1/2010,9935
12/1/2010,9958
1/1/2011,9824
2/1/2011,9737
3/1/2011,9957
4/1/2011,9846
5/1/2011,9761
6/1/2011,9803
7/1/2011,10001
8/1/2011,10102
9/1/2011,10131
10/1/2011,10192
11/1/2011,10181
12/1/2011,10100
1/1/2012,9956
2/1/2012,9893
3/1/2012,9893
4/1/2012,9883
5/1/2012,9908
6/1/2012,9986
7/1/2012,10111
8/1/2012,9947
9/1/2012,10000
10/1/2012,9970
11/1/2012,9729
12/1/2012,9852
1/1/2013,9736
2/1/2013,9888
3/1/2013,9910
4/1/2013,9600
5/1/2013,9937
6/1/2013,10051
7/1/2013,9804
8/1/2013,9802
9/1/2013,9830
10/1/2013,9633
11/1/2013,9712
12/1/2013,9715
1/1/2014,9779
2/1/2014,10018
3/1/2014,10114
4/1/2014,9782
5/1/2014,9812
6/1/2014,9565
7/1/2014,9334
8/1/2014,9769
9/1/2014,9853
