DATE,LNS12000001
1/1/1948,41736
2/1/1948,41835
3/1/1948,41431
4/1/1948,41585
5/1/1948,41510
6/1/1948,41809
7/1/1948,41969
8/1/1948,41825
9/1/1948,41652
10/1/1948,41823
11/1/1948,41735
12/1/1948,41861
1/1/1949,41513
2/1/1949,41393
3/1/1949,41182
4/1/1949,41162
5/1/1949,40866
6/1/1949,40685
7/1/1949,40484
8/1/1949,40640
9/1/1949,40859
10/1/1949,40412
11/1/1949,41006
12/1/1949,40983
1/1/1950,40857
2/1/1950,40922
3/1/1950,40942
4/1/1950,41228
5/1/1950,41511
6/1/1950,41621
7/1/1950,41747
8/1/1950,42148
9/1/1950,42146
10/1/1950,42034
11/1/1950,41912
12/1/1950,41735
1/1/1951,41754
2/1/1951,41826
3/1/1951,42188
4/1/1951,41877
5/1/1951,41972
6/1/1951,41672
7/1/1951,41614
8/1/1951,41689
9/1/1951,41625
10/1/1951,41705
11/1/1951,41591
12/1/1951,41941
1/1/1952,41858
2/1/1952,41912
3/1/1952,41688
4/1/1952,41595
5/1/1952,41713
6/1/1952,41675
7/1/1952,41589
8/1/1952,41367
9/1/1952,41480
10/1/1952,41574
11/1/1952,41682
12/1/1952,42110
1/1/1953,42518
2/1/1953,42873
3/1/1953,42892
4/1/1953,42575
5/1/1953,42432
6/1/1953,42479
7/1/1953,42474
8/1/1953,42426
9/1/1953,42229
10/1/1953,42179
11/1/1953,42292
12/1/1953,41948
1/1/1954,41933
2/1/1954,41972
3/1/1954,41525
4/1/1954,41608
5/1/1954,41471
6/1/1954,41456
7/1/1954,41452
8/1/1954,41542
9/1/1954,41650
10/1/1954,41562
11/1/1954,41680
12/1/1954,41639
1/1/1955,41934
2/1/1955,41938
3/1/1955,42130
4/1/1955,42196
5/1/1955,42490
6/1/1955,42474
7/1/1955,42834
8/1/1955,42816
9/1/1955,43072
10/1/1955,43054
11/1/1955,43179
12/1/1955,43310
1/1/1956,43469
2/1/1956,43365
3/1/1956,43377
4/1/1956,43373
5/1/1956,43379
6/1/1956,43397
7/1/1956,43382
8/1/1956,43424
9/1/1956,43406
10/1/1956,43396
11/1/1956,43273
12/1/1956,43294
1/1/1957,43210
2/1/1957,43472
3/1/1957,43642
4/1/1957,43457
