DATE,LNS12032194
5/1/1955,2063
6/1/1955,1982
7/1/1955,2123
8/1/1955,2203
9/1/1955,2133
10/1/1955,2093
11/1/1955,2199
12/1/1955,2149
1/1/1956,2149
2/1/1956,2087
3/1/1956,1980
4/1/1956,2051
5/1/1956,2194
6/1/1956,2331
7/1/1956,2287
8/1/1956,2353
9/1/1956,2399
10/1/1956,2417
11/1/1956,2414
12/1/1956,2306
1/1/1957,2283
2/1/1957,2426
3/1/1957,2435
4/1/1957,2283
5/1/1957,2377
6/1/1957,2476
7/1/1957,2449
8/1/1957,2440
9/1/1957,2484
10/1/1957,2641
11/1/1957,2643
12/1/1957,2712
1/1/1958,3291
2/1/1958,3437
3/1/1958,3972
4/1/1958,3743
5/1/1958,3602
6/1/1958,3340
7/1/1958,2955
8/1/1958,3178
9/1/1958,3166
10/1/1958,2969
11/1/1958,2805
12/1/1958,2825
1/1/1959,2749
2/1/1959,2515
3/1/1959,2846
4/1/1959,2592
5/1/1959,2353
6/1/1959,2543
7/1/1959,2668
8/1/1959,2599
9/1/1959,2507
10/1/1959,2730
11/1/1959,2799
12/1/1959,2734
1/1/1960,2507
2/1/1960,2565
3/1/1960,2405
4/1/1960,2769
5/1/1960,2733
6/1/1960,2904
7/1/1960,2830
8/1/1960,2933
9/1/1960,3071
10/1/1960,3069
11/1/1960,3119
12/1/1960,3305
1/1/1961,3428
2/1/1961,3561
3/1/1961,3325
4/1/1961,3295
5/1/1961,3269
6/1/1961,3151
7/1/1961,3035
8/1/1961,3152
9/1/1961,2976
10/1/1961,2913
11/1/1961,2875
12/1/1961,2645
1/1/1962,2392
2/1/1962,2631
3/1/1962,2783
4/1/1962,2596
5/1/1962,2756
6/1/1962,2683
7/1/1962,2759
8/1/1962,2626
9/1/1962,2675
10/1/1962,2704
11/1/1962,2714
12/1/1962,2575
1/1/1963,2613
2/1/1963,2560
3/1/1963,2645
4/1/1963,2644
5/1/1963,2571
6/1/1963,2627
7/1/1963,2482
8/1/1963,2740
9/1/1963,2723
10/1/1963,2647
11/1/1963,2623
12/1/1963,2580
1/1/1964,2428
2/1/1964,2567
3/1/1964,2467
4/1/1964,2562
5/1/1964,2539
6/1/1964,2484
7/1/1964,2369
8/1/1964,2369
9/1/1964,2455
10/1/1964,2435
11/1/1964,2367
12/1/1964,2462
1/1/1965,2383
2/1/1965,2304
3/1/1965,2296
4/1/1965,2230
5/1/1965,2258
6/1/1965,2170
7/1/1965,2289
8/1/1965,2259
9/1/1965,2019
10/1/1965,2168
11/1/1965,2077
12/1/1965,2037
1/1/1966,2081
2/1/1966,1884
3/1/1966,1905
4/1/1966,1908
5/1/1966,1923
6/1/1966,2185
7/1/1966,2128
8/1/1966,1942
9/1/1966,1856
10/1/1966,1857
11/1/1966,1738
12/1/1966,2007
1/1/1967,2182
2/1/1967,2322
3/1/1967,2308
4/1/1967,2374
5/1/1967,1835
6/1/1967,2095
7/1/1967,2062
8/1/1967,2069
9/1/1967,2233
10/1/1967,2180
11/1/1967,2227
12/1/1967,2124
1/1/1968,1873
2/1/1968,2153
3/1/1968,1983
4/1/1968,1943
5/1/1968,1933
6/1/1968,2052
7/1/1968,1950
8/1/1968,1962
9/1/1968,1946
10/1/1968,1883
11/1/1968,1927
12/1/1968,1988
1/1/1969,1914
2/1/1969,1952
3/1/1969,2044
4/1/1969,1951
5/1/1969,1961
6/1/1969,2092
7/1/1969,2004
8/1/1969,2142
9/1/1969,2190
10/1/1969,2165
11/1/1969,2084
12/1/1969,2122
1/1/1970,2182
2/1/1970,2186
3/1/1970,2236
4/1/1970,2631
5/1/1970,2487
6/1/1970,2353
7/1/1970,2493
8/1/1970,2438
9/1/1970,2425
10/1/1970,2612
11/1/1970,2581
12/1/1970,2760
1/1/1971,2756
2/1/1971,2732
3/1/1971,2747
4/1/1971,2806
5/1/1971,2720
6/1/1971,2431
7/1/1971,2701
8/1/1971,2676
9/1/1971,2636
10/1/1971,2726
11/1/1971,2819
12/1/1971,2606
1/1/1972,2669
2/1/1972,2585
3/1/1972,2637
4/1/1972,2728
5/1/1972,2565
6/1/1972,2805
7/1/1972,2799
8/1/1972,2831
9/1/1972,2678
10/1/1972,2562
11/1/1972,2407
12/1/1972,2366
1/1/1973,2170
2/1/1973,2393
3/1/1973,2369
4/1/1973,2338
5/1/1973,2392
6/1/1973,2744
7/1/1973,2703
8/1/1973,2609
9/1/1973,2644
10/1/1973,2655
11/1/1973,2687
12/1/1973,2846
1/1/1974,2748
2/1/1974,2963
3/1/1974,2720
4/1/1974,2629
5/1/1974,2872
6/1/1974,2784
7/1/1974,2821
8/1/1974,2993
9/1/1974,3184
10/1/1974,3188
11/1/1974,3484
12/1/1974,3583
1/1/1975,4133
2/1/1975,3994
