DATE,LNS12027660
1/1/1992,35237
2/1/1992,35446
3/1/1992,35531
4/1/1992,35547
5/1/1992,35372
6/1/1992,35296
7/1/1992,35419
8/1/1992,35234
9/1/1992,35218
10/1/1992,35219
11/1/1992,35094
12/1/1992,35050
1/1/1993,35047
2/1/1993,35132
3/1/1993,35090
4/1/1993,35176
5/1/1993,35343
6/1/1993,35432
7/1/1993,35542
8/1/1993,35606
9/1/1993,35329
10/1/1993,35633
11/1/1993,35590
12/1/1993,35814
1/1/1994,35708
2/1/1994,34872
3/1/1994,34868
4/1/1994,34813
5/1/1994,35202
6/1/1994,35182
7/1/1994,35106
8/1/1994,35150
9/1/1994,35197
10/1/1994,35156
11/1/1994,35293
12/1/1994,35179
1/1/1995,35134
2/1/1995,34959
3/1/1995,35104
4/1/1995,35019
5/1/1995,34978
6/1/1995,35085
7/1/1995,34902
8/1/1995,34966
9/1/1995,35038
10/1/1995,34893
11/1/1995,34979
12/1/1995,35048
1/1/1996,34897
2/1/1996,35099
3/1/1996,34985
4/1/1996,35224
5/1/1996,35138
6/1/1996,35099
7/1/1996,35321
8/1/1996,35360
9/1/1996,35627
10/1/1996,35633
11/1/1996,35615
12/1/1996,35742
1/1/1997,36002
2/1/1997,35975
3/1/1997,35924
4/1/1997,36050
5/1/1997,36036
6/1/1997,36293
7/1/1997,36591
8/1/1997,36328
9/1/1997,36211
10/1/1997,36231
11/1/1997,36199
12/1/1997,36287
1/1/1998,36107
2/1/1998,36182
3/1/1998,36102
4/1/1998,35862
5/1/1998,36047
6/1/1998,35790
7/1/1998,35908
8/1/1998,35983
9/1/1998,35953
10/1/1998,36119
11/1/1998,35959
12/1/1998,35861
1/1/1999,36039
2/1/1999,35927
3/1/1999,36139
4/1/1999,36133
5/1/1999,36050
6/1/1999,36062
7/1/1999,35824
8/1/1999,35732
9/1/1999,36013
10/1/1999,35925
11/1/1999,36434
12/1/1999,36006
1/1/2000,36716
2/1/2000,36706
3/1/2000,36696
4/1/2000,36935
5/1/2000,36508
6/1/2000,36395
7/1/2000,36302
8/1/2000,35865
9/1/2000,36118
10/1/2000,36241
11/1/2000,36448
12/1/2000,36459
1/1/2001,36519
2/1/2001,36488
3/1/2001,36457
4/1/2001,36390
5/1/2001,36288
6/1/2001,36162
7/1/2001,35995
8/1/2001,35914
9/1/2001,35805
10/1/2001,35692
11/1/2001,35494
12/1/2001,35640
1/1/2002,35482
2/1/2002,35821
3/1/2002,35516
4/1/2002,35448
5/1/2002,35538
6/1/2002,35549
7/1/2002,35890
8/1/2002,35907
9/1/2002,36184
10/1/2002,36116
11/1/2002,35945
12/1/2002,35856
1/1/2003,35907
2/1/2003,35722
3/1/2003,35700
4/1/2003,35788
5/1/2003,35733
6/1/2003,35767
7/1/2003,35835
8/1/2003,35774
9/1/2003,35914
10/1/2003,35845
11/1/2003,36299
12/1/2003,35986
1/1/2004,35945
2/1/2004,35989
3/1/2004,35690
4/1/2004,35690
5/1/2004,35895
6/1/2004,36091
7/1/2004,36457
8/1/2004,36135
9/1/2004,35876
10/1/2004,35829
11/1/2004,35793
12/1/2004,35978
1/1/2005,36087
2/1/2005,36331
3/1/2005,36379
4/1/2005,36672
5/1/2005,36522
6/1/2005,36348
7/1/2005,36304
8/1/2005,36371
9/1/2005,36366
10/1/2005,36553
11/1/2005,36449
12/1/2005,36318
1/1/2006,36293
2/1/2006,36276
3/1/2006,36725
4/1/2006,36702
5/1/2006,36693
6/1/2006,37146
7/1/2006,36770
8/1/2006,36658
9/1/2006,36815
10/1/2006,36818
11/1/2006,36842
12/1/2006,36637
1/1/2007,37047
2/1/2007,37144
3/1/2007,37061
4/1/2007,36901
5/1/2007,36313
6/1/2007,36707
7/1/2007,36635
8/1/2007,36807
9/1/2007,37123
10/1/2007,36746
11/1/2007,36925
12/1/2007,36820
1/1/2008,36490
2/1/2008,36280
3/1/2008,36159
4/1/2008,35957
5/1/2008,36201
6/1/2008,36070
7/1/2008,36622
8/1/2008,36068
9/1/2008,35963
10/1/2008,36125
11/1/2008,35712
12/1/2008,35578
1/1/2009,35561
2/1/2009,35071
3/1/2009,34892
4/1/2009,34781
5/1/2009,34644
6/1/2009,34680
7/1/2009,34546
8/1/2009,34386
9/1/2009,33975
10/1/2009,33801
11/1/2009,34030
12/1/2009,33557
1/1/2010,34115
2/1/2010,34644
3/1/2010,34802
4/1/2010,34664
5/1/2010,34189
6/1/2010,33922
7/1/2010,34053
8/1/2010,34476
9/1/2010,34328
10/1/2010,34120
11/1/2010,34014
12/1/2010,34217
1/1/2011,33989
2/1/2011,33980
3/1/2011,33925
4/1/2011,33791
5/1/2011,33942
6/1/2011,33768
7/1/2011,33864
8/1/2011,33634
9/1/2011,33731
10/1/2011,33795
11/1/2011,33785
12/1/2011,33643
1/1/2012,33789
2/1/2012,33870
3/1/2012,33743
4/1/2012,33873
5/1/2012,33899
6/1/2012,33810
7/1/2012,33708
8/1/2012,33416
9/1/2012,33370
10/1/2012,33610
11/1/2012,33765
12/1/2012,33727
1/1/2013,33707
2/1/2013,33344
3/1/2013,33317
4/1/2013,33518
5/1/2013,33689
6/1/2013,33675
7/1/2013,34067
8/1/2013,33682
9/1/2013,33707
10/1/2013,33513
11/1/2013,33367
12/1/2013,33844
1/1/2014,33734
2/1/2014,33839
3/1/2014,33924
4/1/2014,33780
5/1/2014,33829
6/1/2014,34174
7/1/2014,34131
8/1/2014,34016
9/1/2014,34068
10/1/2014,34026
11/1/2014,33422
12/1/2014,33444
1/1/2015,33520
2/1/2015,33377
3/1/2015,33692
4/1/2015,33585
5/1/2015,33303
6/1/2015,33243
7/1/2015,33239
8/1/2015,33530
9/1/2015,33420
10/1/2015,33631
11/1/2015,33401
12/1/2015,32876
1/1/2016,33616
2/1/2016,33742
3/1/2016,33651
4/1/2016,33646
5/1/2016,33820
6/1/2016,33553
7/1/2016,33793
8/1/2016,34013
9/1/2016,33801
10/1/2016,34025
11/1/2016,34071
12/1/2016,33872
1/1/2017,33656
2/1/2017,34090
3/1/2017,34372
4/1/2017,34476
5/1/2017,34386
6/1/2017,34302
7/1/2017,33926
