DATE,CES7000000010
1/1/1964,1200
2/1/1964,1211
3/1/1964,1238
4/1/1964,1213
5/1/1964,1226
6/1/1964,1235
7/1/1964,1241
8/1/1964,1252
9/1/1964,1258
10/1/1964,1267
11/1/1964,1276
12/1/1964,1305
1/1/1965,1292
2/1/1965,1296
3/1/1965,1303
4/1/1965,1331
5/1/1965,1326
6/1/1965,1333
7/1/1965,1344
8/1/1965,1351
9/1/1965,1360
10/1/1965,1371
11/1/1965,1377
12/1/1965,1403
1/1/1966,1397
2/1/1966,1397
3/1/1966,1410
4/1/1966,1420
5/1/1966,1429
6/1/1966,1440
7/1/1966,1447
8/1/1966,1456
9/1/1966,1460
10/1/1966,1467
11/1/1966,1471
12/1/1966,1491
1/1/1967,1486
2/1/1967,1488
3/1/1967,1507
4/1/1967,1487
5/1/1967,1508
6/1/1967,1516
7/1/1967,1523
8/1/1967,1528
9/1/1967,1541
10/1/1967,1544
11/1/1967,1561
12/1/1967,1581
1/1/1968,1567
2/1/1968,1578
3/1/1968,1588
4/1/1968,1605
5/1/1968,1610
6/1/1968,1619
7/1/1968,1629
8/1/1968,1644
9/1/1968,1654
10/1/1968,1668
11/1/1968,1677
12/1/1968,1688
1/1/1969,1695
2/1/1969,1705
3/1/1969,1714
4/1/1969,1722
5/1/1969,1739
6/1/1969,1752
7/1/1969,1763
8/1/1969,1772
9/1/1969,1777
10/1/1969,1789
11/1/1969,1794
12/1/1969,1797
1/1/1970,1803
2/1/1970,1811
3/1/1970,1826
4/1/1970,1817
5/1/1970,1820
6/1/1970,1815
7/1/1970,1820
8/1/1970,1819
9/1/1970,1827
10/1/1970,1833
11/1/1970,1833
12/1/1970,1847
1/1/1971,1855
2/1/1971,1857
3/1/1971,1868
4/1/1971,1875
5/1/1971,1884
6/1/1971,1890
7/1/1971,1892
8/1/1971,1900
9/1/1971,1903
10/1/1971,1903
11/1/1971,1906
12/1/1971,1924
1/1/1972,1937
2/1/1972,1950
3/1/1972,1962
4/1/1972,1963
5/1/1972,1965
6/1/1972,1977
7/1/1972,1983
8/1/1972,1996
9/1/1972,1993
10/1/1972,2012
11/1/1972,2025
12/1/1972,2035
1/1/1973,2048
2/1/1973,2057
3/1/1973,2063
4/1/1973,2077
5/1/1973,2088
6/1/1973,2097
7/1/1973,2100
8/1/1973,2110
9/1/1973,2124
10/1/1973,2146
11/1/1973,2159
12/1/1973,2167
1/1/1974,2175
2/1/1974,2182
3/1/1974,2196
4/1/1974,2210
5/1/1974,2220
6/1/1974,2223
7/1/1974,2234
8/1/1974,2238
9/1/1974,2248
10/1/1974,2264
11/1/1974,2252
12/1/1974,2236
1/1/1975,2245
2/1/1975,2247
3/1/1975,2252
4/1/1975,2246
5/1/1975,2259
6/1/1975,2271
7/1/1975,2283
8/1/1975,2299
9/1/1975,2302
10/1/1975,2314
11/1/1975,2317
12/1/1975,2335
1/1/1976,2356
2/1/1976,2380
3/1/1976,2387
4/1/1976,2416
5/1/1976,2412
6/1/1976,2419
7/1/1976,2434
8/1/1976,2445
9/1/1976,2452
10/1/1976,2458
11/1/1976,2462
12/1/1976,2475
1/1/1977,2493
2/1/1977,2507
3/1/1977,2528
4/1/1977,2542
5/1/1977,2556
6/1/1977,2570
7/1/1977,2581
8/1/1977,2597
9/1/1977,2617
10/1/1977,2632
11/1/1977,2647
12/1/1977,2669
1/1/1978,2684
2/1/1978,2694
3/1/1978,2713
4/1/1978,2736
5/1/1978,2755
6/1/1978,2774
7/1/1978,2790
8/1/1978,2808
9/1/1978,2818
10/1/1978,2835
11/1/1978,2854
12/1/1978,2866
1/1/1979,2882
2/1/1979,2895
3/1/1979,2910
4/1/1979,2926
5/1/1979,2931
6/1/1979,2932
7/1/1979,2929
8/1/1979,2943
9/1/1979,2950
10/1/1979,2976
11/1/1979,2987
12/1/1979,2994
1/1/1980,3000
2/1/1980,3017
3/1/1980,3019
4/1/1980,3010
5/1/1980,3010
6/1/1980,3013
7/1/1980,3006
8/1/1980,3019
9/1/1980,3027
10/1/1980,3032
11/1/1980,3046
12/1/1980,3057
1/1/1981,3070
2/1/1981,3079
3/1/1981,3079
4/1/1981,3089
5/1/1981,3092
6/1/1981,3101
7/1/1981,3108
8/1/1981,3119
9/1/1981,3124
10/1/1981,3128
11/1/1981,3120
12/1/1981,3122
1/1/1982,3124
2/1/1982,3140
3/1/1982,3142
4/1/1982,3147
5/1/1982,3159
6/1/1982,3161
7/1/1982,3164
8/1/1982,3167
9/1/1982,3170
10/1/1982,3170
11/1/1982,3168
12/1/1982,3177
1/1/1983,3195
2/1/1983,3201
3/1/1983,3221
4/1/1983,3235
5/1/1983,3249
6/1/1983,3268
7/1/1983,3294
8/1/1983,3310
9/1/1983,3329
10/1/1983,3342
11/1/1983,3360
12/1/1983,3388
1/1/1984,3415
2/1/1984,3439
3/1/1984,3458
4/1/1984,3486
5/1/1984,3503
6/1/1984,3530
7/1/1984,3554
8/1/1984,3569
9/1/1984,3602
10/1/1984,3638
11/1/1984,3683
12/1/1984,3686
1/1/1985,3701
2/1/1985,3719
3/1/1985,3741
4/1/1985,3756
5/1/1985,3783
6/1/1985,3793
7/1/1985,3796
8/1/1985,3788
9/1/1985,3821
10/1/1985,3832
11/1/1985,3852
12/1/1985,3865
1/1/1986,3881
2/1/1986,3893
3/1/1986,3914
4/1/1986,3930
5/1/1986,3949
6/1/1986,3963
7/1/1986,3983
8/1/1986,3980
9/1/1986,4026
10/1/1986,4043
11/1/1986,4057
12/1/1986,4071
1/1/1987,4083
2/1/1987,4102
3/1/1987,4110
4/1/1987,4129
5/1/1987,4132
6/1/1987,4143
7/1/1987,4159
8/1/1987,4128
9/1/1987,4191
10/1/1987,4229
11/1/1987,4252
12/1/1987,4278
1/1/1988,4313
2/1/1988,4339
3/1/1988,4329
4/1/1988,4330
5/1/1988,4330
6/1/1988,4326
7/1/1988,4333
8/1/1988,4292
9/1/1988,4375
10/1/1988,4412
11/1/1988,4453
12/1/1988,4502
1/1/1989,4545
2/1/1989,4535
3/1/1989,4530
4/1/1989,4521
5/1/1989,4499
6/1/1989,4464
7/1/1989,4456
8/1/1989,4415
9/1/1989,4500
10/1/1989,4564
11/1/1989,4632
12/1/1989,4669
1/1/1990,4844
2/1/1990,4840
3/1/1990,4847
4/1/1990,4840
5/1/1990,4816
6/1/1990,4820
7/1/1990,4832
8/1/1990,4833
9/1/1990,4821
10/1/1990,4804
11/1/1990,4826
12/1/1990,4828
1/1/1991,4825
2/1/1991,4807
3/1/1991,4808
4/1/1991,4791
5/1/1991,4789
6/1/1991,4798
7/1/1991,4788
8/1/1991,4797
9/1/1991,4816
10/1/1991,4810
11/1/1991,4821
12/1/1991,4826
1/1/1992,4853
2/1/1992,4852
3/1/1992,4848
4/1/1992,4859
5/1/1992,4874
6/1/1992,4865
7/1/1992,4873
8/1/1992,4880
9/1/1992,4886
10/1/1992,4899
11/1/1992,4916
12/1/1992,4902
1/1/1993,4916
2/1/1993,4933
3/1/1993,4900
4/1/1993,4955
5/1/1993,4968
6/1/1993,4979
7/1/1993,4998
8/1/1993,5012
9/1/1993,5038
10/1/1993,5050
11/1/1993,5070
12/1/1993,5099
1/1/1994,5129
