DATE,CES4348400001
1/1/1990,1122.6
2/1/1990,1127.3
3/1/1990,1132.8
4/1/1990,1130.9
5/1/1990,1130.5
6/1/1990,1125
7/1/1990,1119.5
8/1/1990,1114.8
9/1/1990,1113.6
10/1/1990,1113.6
11/1/1990,1112.5
12/1/1990,1128.3
1/1/1991,1120.3
2/1/1991,1109.5
3/1/1991,1104.9
4/1/1991,1105.4
5/1/1991,1099.2
6/1/1991,1100.5
7/1/1991,1102
8/1/1991,1103.7
9/1/1991,1101.6
10/1/1991,1103.2
11/1/1991,1101.5
12/1/1991,1105.2
1/1/1992,1101.6
2/1/1992,1098.8
3/1/1992,1100.2
4/1/1992,1102
5/1/1992,1104.9
6/1/1992,1108.2
7/1/1992,1106.3
8/1/1992,1105.7
9/1/1992,1111.7
10/1/1992,1112.2
11/1/1992,1113.9
12/1/1992,1128.4
1/1/1993,1141.8
2/1/1993,1137.3
3/1/1993,1140
4/1/1993,1141.7
5/1/1993,1146.1
6/1/1993,1148.8
7/1/1993,1156.4
8/1/1993,1161.9
9/1/1993,1165.2
10/1/1993,1171.2
11/1/1993,1174.6
12/1/1993,1176.6
1/1/1994,1182.7
2/1/1994,1188.9
3/1/1994,1196.8
4/1/1994,1147.1
5/1/1994,1209.7
6/1/1994,1211.4
7/1/1994,1213.9
8/1/1994,1217.4
9/1/1994,1218.6
10/1/1994,1221.3
11/1/1994,1227.9
12/1/1994,1240.4
1/1/1995,1239.8
2/1/1995,1244.1
3/1/1995,1248.3
4/1/1995,1253.6
5/1/1995,1246.2
6/1/1995,1244.3
7/1/1995,1235.8
8/1/1995,1246.2
9/1/1995,1234.1
10/1/1995,1267.7
11/1/1995,1264.6
12/1/1995,1264.9
1/1/1996,1268.1
2/1/1996,1270.9
3/1/1996,1272.8
4/1/1996,1277.9
5/1/1996,1282.2
6/1/1996,1290.7
7/1/1996,1296.1
8/1/1996,1291.9
9/1/1996,1285.6
10/1/1996,1284.4
11/1/1996,1283
12/1/1996,1283.3
1/1/1997,1286.9
2/1/1997,1290.5
3/1/1997,1293.4
4/1/1997,1296.7
5/1/1997,1301.9
6/1/1997,1304.4
7/1/1997,1310.6
8/1/1997,1316.6
9/1/1997,1322.8
10/1/1997,1323
11/1/1997,1324.8
12/1/1997,1328.9
1/1/1998,1332.2
2/1/1998,1338.1
3/1/1998,1338.2
4/1/1998,1348
5/1/1998,1353.4
6/1/1998,1357.2
7/1/1998,1358.3
8/1/1998,1364.1
9/1/1998,1364.2
10/1/1998,1366.6
11/1/1998,1365.1
12/1/1998,1370.7
1/1/1999,1374.5
2/1/1999,1375.4
3/1/1999,1376.2
4/1/1999,1381.4
5/1/1999,1384.9
6/1/1999,1391.3
7/1/1999,1396.8
8/1/1999,1398.3
9/1/1999,1402.4
10/1/1999,1405.6
11/1/1999,1407.2
12/1/1999,1407.9
1/1/2000,1408.1
2/1/2000,1406.6
3/1/2000,1408.9
4/1/2000,1407.7
5/1/2000,1406.1
6/1/2000,1403.8
7/1/2000,1403.6
8/1/2000,1408
9/1/2000,1404.9
10/1/2000,1404
11/1/2000,1404.8
12/1/2000,1406.2
1/1/2001,1407.1
2/1/2001,1407.6
3/1/2001,1408.7
4/1/2001,1400.1
5/1/2001,1396.4
6/1/2001,1390.9
7/1/2001,1389.2
8/1/2001,1375.6
9/1/2001,1376.7
10/1/2001,1369.9
11/1/2001,1363.9
12/1/2001,1357
1/1/2002,1350
2/1/2002,1348.1
3/1/2002,1345.2
4/1/2002,1345.3
5/1/2002,1343
6/1/2002,1339.5
7/1/2002,1335
8/1/2002,1328.6
9/1/2002,1331.8
10/1/2002,1338.4
11/1/2002,1334.6
12/1/2002,1333.2
1/1/2003,1329.1
2/1/2003,1326.2
3/1/2003,1330.8
4/1/2003,1318.9
5/1/2003,1320.1
6/1/2003,1320.9
7/1/2003,1320.6
8/1/2003,1325.3
9/1/2003,1325.2
10/1/2003,1328.6
11/1/2003,1331.3
12/1/2003,1335.4
1/1/2004,1339
2/1/2004,1338.6
3/1/2004,1340
4/1/2004,1343.9
5/1/2004,1346.2
6/1/2004,1352
7/1/2004,1355.3
8/1/2004,1358.1
9/1/2004,1363.4
10/1/2004,1361.3
11/1/2004,1359.8
12/1/2004,1368.8
1/1/2005,1374.4
2/1/2005,1381.4
3/1/2005,1386.4
4/1/2005,1392.6
5/1/2005,1395.7
