DATE,LNS12000002
1/1/1948,16325
2/1/1948,16361
3/1/1948,16240
4/1/1948,16706
5/1/1948,16344
6/1/1948,16934
7/1/1948,16999
8/1/1948,16631
9/1/1948,16861
10/1/1948,16564
11/1/1948,16682
12/1/1948,16879
1/1/1949,16662
2/1/1949,16815
3/1/1949,16861
4/1/1949,16585
5/1/1949,16686
6/1/1949,16487
7/1/1949,16706
8/1/1949,16757
9/1/1949,16725
10/1/1949,16857
11/1/1949,17003
12/1/1949,16862
1/1/1950,16778
2/1/1950,16829
3/1/1950,16786
4/1/1950,17355
5/1/1950,17138
6/1/1950,17431
7/1/1950,17254
8/1/1950,17649
9/1/1950,17429
10/1/1950,17769
11/1/1950,17785
12/1/1950,17694
1/1/1951,17882
2/1/1951,17835
3/1/1951,18213
4/1/1951,18012
5/1/1951,18216
6/1/1951,17948
7/1/1951,18542
8/1/1951,18305
9/1/1951,18088
10/1/1951,18305
11/1/1951,18245
12/1/1951,18556
1/1/1952,18602
2/1/1952,18550
3/1/1952,18220
4/1/1952,18314
5/1/1952,18482
6/1/1952,18544
7/1/1952,18382
8/1/1952,18423
9/1/1952,19041
10/1/1952,18558
11/1/1952,19066
12/1/1952,18844
1/1/1953,19082
2/1/1953,19011
3/1/1953,19118
4/1/1953,18869
5/1/1953,18587
6/1/1953,18977
7/1/1953,18923
8/1/1953,18725
9/1/1953,18677
10/1/1953,18714
11/1/1953,18446
12/1/1953,18029
1/1/1954,18091
2/1/1954,18691
3/1/1954,18661
4/1/1954,18577
5/1/1954,18437
6/1/1954,18336
7/1/1954,18191
8/1/1954,18311
9/1/1954,18632
10/1/1954,18708
11/1/1954,18677
12/1/1954,18477
1/1/1955,18819
2/1/1955,18789
3/1/1955,18834
4/1/1955,19319
5/1/1955,19144
6/1/1955,19307
7/1/1955,19679
8/1/1955,19981
9/1/1955,19878
10/1/1955,19937
11/1/1955,20078
12/1/1955,20374
1/1/1956,20284
2/1/1956,20153
3/1/1956,20034
4/1/1956,20241
5/1/1956,20482
6/1/1956,20423
7/1/1956,20418
8/1/1956,20548
9/1/1956,20673
10/1/1956,20579
11/1/1956,20523
12/1/1956,20616
1/1/1957,20422
2/1/1957,20785
3/1/1957,20762
4/1/1957,20590
5/1/1957,20537
6/1/1957,20624
7/1/1957,20909
8/1/1957,20634
9/1/1957,20831
10/1/1957,20858
11/1/1957,20741
12/1/1957,20909
1/1/1958,20571
2/1/1958,20543
3/1/1958,20555
4/1/1958,20522
5/1/1958,20641
6/1/1958,20568
7/1/1958,20489
8/1/1958,20663
9/1/1958,20603
10/1/1958,20694
11/1/1958,20739
12/1/1958,20797
1/1/1959,20952
2/1/1959,20805
3/1/1959,20986
4/1/1959,21146
5/1/1959,21149
6/1/1959,21275
7/1/1959,21221
8/1/1959,21222
9/1/1959,21191
10/1/1959,21342
11/1/1959,21239
12/1/1959,21410
1/1/1960,21376
2/1/1960,21515
3/1/1960,21135
4/1/1960,21894
5/1/1960,22031
6/1/1960,22244
7/1/1960,22075
8/1/1960,22029
9/1/1960,22259
10/1/1960,21830
11/1/1960,22123
12/1/1960,22051
1/1/1961,22077
2/1/1961,22158
3/1/1961,22301
4/1/1961,21971
5/1/1961,21981
6/1/1961,22260
7/1/1961,22014
8/1/1961,22086
9/1/1961,21876
10/1/1961,22131
11/1/1961,22190
12/1/1961,22077
1/1/1962,22248
2/1/1962,22449
3/1/1962,22372
4/1/1962,22363
5/1/1962,22410
6/1/1962,22519
7/1/1962,22438
8/1/1962,22731
9/1/1962,22795
10/1/1962,22671
11/1/1962,22603
12/1/1962,22630
1/1/1963,22771
2/1/1963,22878
3/1/1963,22970
4/1/1963,23132
5/1/1963,23116
6/1/1963,22998
7/1/1963,23097
8/1/1963,23042
9/1/1963,23188
10/1/1963,23351
11/1/1963,23358
12/1/1963,23332
1/1/1964,23359
2/1/1964,23648
3/1/1964,23638
4/1/1964,23969
5/1/1964,23998
6/1/1964,23908
7/1/1964,23769
8/1/1964,23915
9/1/1964,23854
10/1/1964,23901
11/1/1964,23952
12/1/1964,24068
1/1/1965,24141
2/1/1965,24135
3/1/1965,24345
4/1/1965,24420
5/1/1965,24557
6/1/1965,24785
7/1/1965,24978
8/1/1965,24920
9/1/1965,24907
10/1/1965,25134
11/1/1965,25147
12/1/1965,25379
1/1/1966,25465
2/1/1966,25424
3/1/1966,25433
4/1/1966,25581
5/1/1966,25666
6/1/1966,25811
7/1/1966,25925
8/1/1966,26164
9/1/1966,26351
10/1/1966,26403
11/1/1966,26735
12/1/1966,26671
1/1/1967,26419
2/1/1967,26432
3/1/1967,26334
4/1/1967,26700
5/1/1967,26613
6/1/1967,26791
7/1/1967,26914
8/1/1967,27077
9/1/1967,27154
10/1/1967,27278
11/1/1967,27395
12/1/1967,27628
1/1/1968,27114
