DATE,CES1021100001
1/1/1972,141.2
2/1/1972,140.9
3/1/1972,140.8
4/1/1972,140.2
5/1/1972,139.6
6/1/1972,139.5
7/1/1972,139
8/1/1972,138.4
9/1/1972,137.3
10/1/1972,137.5
11/1/1972,137
12/1/1972,137.7
1/1/1973,136.3
2/1/1973,136.3
3/1/1973,136.1
4/1/1973,135.8
5/1/1973,135.6
6/1/1973,135
7/1/1973,134.8
8/1/1973,133.8
9/1/1973,134.6
10/1/1973,134.3
11/1/1973,135.2
12/1/1973,135.5
1/1/1974,136.3
2/1/1974,136.6
3/1/1974,137.1
4/1/1974,137.8
5/1/1974,138.7
6/1/1974,138.9
7/1/1974,140.5
8/1/1974,141.8
9/1/1974,142.6
10/1/1974,144.1
11/1/1974,144.8
12/1/1974,145.7
1/1/1975,146.8
2/1/1975,146.5
3/1/1975,148.1
4/1/1975,149.4
5/1/1975,150.2
6/1/1975,150.6
7/1/1975,151.4
8/1/1975,151.8
9/1/1975,152.8
10/1/1975,153.3
11/1/1975,153.5
12/1/1975,154.2
1/1/1976,154.9
2/1/1976,155.5
3/1/1976,155.5
4/1/1976,155.4
5/1/1976,155.6
6/1/1976,156.6
7/1/1976,156.8
8/1/1976,157
9/1/1976,157
10/1/1976,157.2
11/1/1976,157.8
12/1/1976,158.8
1/1/1977,159
2/1/1977,159.6
3/1/1977,160.8
4/1/1977,162.1
5/1/1977,163.3
6/1/1977,164
7/1/1977,165.3
8/1/1977,166.5
9/1/1977,167.9
10/1/1977,169.2
11/1/1977,170.5
12/1/1977,171.3
1/1/1978,172.3
2/1/1978,173.2
3/1/1978,174.5
4/1/1978,175
5/1/1978,174.6
6/1/1978,176.8
7/1/1978,177.1
8/1/1978,178.2
9/1/1978,179.2
10/1/1978,179.9
11/1/1978,181
12/1/1978,181.7
1/1/1979,183.5
2/1/1979,185.4
3/1/1979,186.4
4/1/1979,187.9
5/1/1979,189
6/1/1979,191.4
7/1/1979,192.5
8/1/1979,194.1
9/1/1979,195.5
10/1/1979,197.4
11/1/1979,199.4
12/1/1979,201.4
1/1/1980,203.4
2/1/1980,204.5
3/1/1980,206.8
4/1/1980,211.1
5/1/1980,214.4
6/1/1980,217.2
7/1/1980,220.5
8/1/1980,223.2
9/1/1980,225.9
10/1/1980,229.5
11/1/1980,231.5
12/1/1980,234.4
1/1/1981,237.5
2/1/1981,241
3/1/1981,243.6
4/1/1981,246.6
5/1/1981,248.4
6/1/1981,253.6
7/1/1981,257.3
8/1/1981,259.1
9/1/1981,260.1
10/1/1981,261.6
11/1/1981,263.5
12/1/1981,265.1
1/1/1982,266
2/1/1982,266.3
3/1/1982,267
4/1/1982,265.8
5/1/1982,265.5
6/1/1982,264.9
7/1/1982,265
8/1/1982,264.8
9/1/1982,263.9
10/1/1982,262.8
