DATE,PAYEMS
7/1/1965,60965
8/1/1965,61228
9/1/1965,61490
10/1/1965,61719
11/1/1965,61996
12/1/1965,62322
1/1/1966,62529
2/1/1966,62796
3/1/1966,63192
4/1/1966,63437
5/1/1966,63712
6/1/1966,64111
7/1/1966,64301
8/1/1966,64507
9/1/1966,64643
10/1/1966,64854
11/1/1966,65019
12/1/1966,65199
1/1/1967,65407
2/1/1967,65429
3/1/1967,65530
4/1/1967,65466
5/1/1967,65620
6/1/1967,65750
7/1/1967,65888
8/1/1967,66143
9/1/1967,66164
10/1/1967,66225
11/1/1967,66703
12/1/1967,66900
1/1/1968,66804
2/1/1968,67215
3/1/1968,67295
4/1/1968,67556
5/1/1968,67652
6/1/1968,67905
7/1/1968,68126
8/1/1968,68330
9/1/1968,68484
10/1/1968,68721
11/1/1968,68984
12/1/1968,69248
1/1/1969,69439
2/1/1969,69699
3/1/1969,69905
4/1/1969,70072
5/1/1969,70328
6/1/1969,70636
7/1/1969,70729
8/1/1969,71008
9/1/1969,70914
10/1/1969,71121
11/1/1969,71086
12/1/1969,71241
1/1/1970,71176
2/1/1970,71305
3/1/1970,71451
4/1/1970,71348
5/1/1970,71124
6/1/1970,71029
7/1/1970,71053
8/1/1970,70937
9/1/1970,70944
10/1/1970,70521
11/1/1970,70409
12/1/1970,70792
1/1/1971,70865
2/1/1971,70807
3/1/1971,70860
4/1/1971,71036
5/1/1971,71247
6/1/1971,71254
7/1/1971,71315
8/1/1971,71373
9/1/1971,71614
10/1/1971,71642
11/1/1971,71847
12/1/1971,72109
1/1/1972,72441
2/1/1972,72648
3/1/1972,72944
4/1/1972,73162
5/1/1972,73469
6/1/1972,73758
7/1/1972,73709
8/1/1972,74141
9/1/1972,74264
10/1/1972,74674
11/1/1972,74973
12/1/1972,75268
1/1/1973,75617
2/1/1973,76014
3/1/1973,76284
4/1/1973,76455
5/1/1973,76648
6/1/1973,76887
7/1/1973,76913
8/1/1973,77168
9/1/1973,77276
10/1/1973,77607
11/1/1973,77920
12/1/1973,78031
1/1/1974,78100
2/1/1974,78254
3/1/1974,78296
4/1/1974,78382
5/1/1974,78549
6/1/1974,78604
7/1/1974,78636
8/1/1974,78619
9/1/1974,78610
10/1/1974,78630
11/1/1974,78265
12/1/1974,77652
1/1/1975,77293
2/1/1975,76918
3/1/1975,76648
4/1/1975,76460
5/1/1975,76624
6/1/1975,76521
7/1/1975,76770
8/1/1975,77153
9/1/1975,77228
10/1/1975,77540
11/1/1975,77685
12/1/1975,78017
1/1/1976,78503
2/1/1976,78816
3/1/1976,79048
4/1/1976,79292
5/1/1976,79312
6/1/1976,79376
7/1/1976,79547
8/1/1976,79704
9/1/1976,79892
10/1/1976,79911
11/1/1976,80240
12/1/1976,80448
1/1/1977,80690
2/1/1977,80988
3/1/1977,81391
4/1/1977,81728
5/1/1977,82088
6/1/1977,82488
