DATE,LNS12000315
1/1/1955,10004
2/1/1955,9985
3/1/1955,9833
4/1/1955,10140
5/1/1955,10132
6/1/1955,10212
7/1/1955,10372
8/1/1955,10632
9/1/1955,10647
10/1/1955,10755
11/1/1955,10717
12/1/1955,10767
1/1/1956,10816
2/1/1956,10900
3/1/1956,10910
4/1/1956,10803
5/1/1956,11081
6/1/1956,11083
7/1/1956,11122
8/1/1956,11110
9/1/1956,11235
10/1/1956,11170
11/1/1956,11189
12/1/1956,11150
1/1/1957,11076
2/1/1957,11344
3/1/1957,11329
4/1/1957,11279
5/1/1957,11171
6/1/1957,11297
7/1/1957,11475
8/1/1957,11188
9/1/1957,11159
10/1/1957,11262
11/1/1957,11362
12/1/1957,11498
1/1/1958,11313
2/1/1958,11191
3/1/1958,11228
4/1/1958,11251
5/1/1958,11312
6/1/1958,11271
7/1/1958,11377
8/1/1958,11539
9/1/1958,11466
10/1/1958,11452
11/1/1958,11452
12/1/1958,11554
1/1/1959,11655
2/1/1959,11568
3/1/1959,11636
4/1/1959,11691
5/1/1959,11866
6/1/1959,11945
7/1/1959,11942
8/1/1959,11946
9/1/1959,11988
10/1/1959,12038
11/1/1959,11938
12/1/1959,12061
1/1/1960,11903
2/1/1960,11932
3/1/1960,11765
4/1/1960,12129
5/1/1960,12167
6/1/1960,12326
7/1/1960,12378
8/1/1960,12447
9/1/1960,12541
10/1/1960,12223
11/1/1960,12556
12/1/1960,12359
1/1/1961,12378
2/1/1961,12323
3/1/1961,12429
4/1/1961,12253
5/1/1961,12328
6/1/1961,12525
7/1/1961,12439
8/1/1961,12410
9/1/1961,12326
10/1/1961,12400
11/1/1961,12547
12/1/1961,12428
1/1/1962,12746
2/1/1962,12900
3/1/1962,12804
4/1/1962,12868
5/1/1962,12771
6/1/1962,12703
7/1/1962,12676
8/1/1962,12835
9/1/1962,12907
10/1/1962,12854
11/1/1962,12876
12/1/1962,12904
1/1/1963,12849
2/1/1963,12986
3/1/1963,13177
4/1/1963,13126
5/1/1963,13148
6/1/1963,12949
7/1/1963,12991
8/1/1963,12843
9/1/1963,13016
10/1/1963,13204
11/1/1963,13245
12/1/1963,13267
1/1/1964,13384
2/1/1964,13609
3/1/1964,13541
4/1/1964,13771
5/1/1964,13744
6/1/1964,13667
7/1/1964,13480
8/1/1964,13649
9/1/1964,13532
10/1/1964,13672
11/1/1964,13680
12/1/1964,13683
1/1/1965,13881
2/1/1965,13847
3/1/1965,13922
4/1/1965,13985
5/1/1965,14049
6/1/1965,14328
7/1/1965,14389
8/1/1965,14308
9/1/1965,14201
10/1/1965,14303
11/1/1965,14300
12/1/1965,14460
1/1/1966,14416
2/1/1966,14481
3/1/1966,14555
4/1/1966,14550
5/1/1966,14639
6/1/1966,14755
7/1/1966,14936
8/1/1966,15024
9/1/1966,15231
10/1/1966,15120
11/1/1966,15393
12/1/1966,15242
1/1/1967,15075
2/1/1967,15108
3/1/1967,15131
4/1/1967,15236
5/1/1967,15197
6/1/1967,15276
7/1/1967,15605
8/1/1967,15691
9/1/1967,15808
10/1/1967,15939
11/1/1967,16021
12/1/1967,16138
1/1/1968,15875
2/1/1968,16081
3/1/1968,16205
4/1/1968,16124
5/1/1968,16418
6/1/1968,16338
7/1/1968,16245
8/1/1968,16163
9/1/1968,16388
10/1/1968,16433
11/1/1968,16568
12/1/1968,16506
1/1/1969,16621
2/1/1969,16812
3/1/1969,16885
4/1/1969,16931
5/1/1969,17068
6/1/1969,17072
7/1/1969,17113
8/1/1969,16990
9/1/1969,17243
10/1/1969,17349
11/1/1969,17332
12/1/1969,17478
1/1/1970,17453
2/1/1970,17442
3/1/1970,17454
4/1/1970,17675
5/1/1970,17564
6/1/1970,17587
7/1/1970,17841
8/1/1970,17517
9/1/1970,17409
10/1/1970,17668
11/1/1970,17616
12/1/1970,17644
1/1/1971,17667
2/1/1971,17637
3/1/1971,17527
4/1/1971,17547
5/1/1971,17604
6/1/1971,17626
7/1/1971,17526
8/1/1971,17609
9/1/1971,17795
10/1/1971,17837
11/1/1971,17990
12/1/1971,17967
1/1/1972,18186
2/1/1972,18263
3/1/1972,18338
4/1/1972,18198
5/1/1972,18252
6/1/1972,18144
7/1/1972,18196
8/1/1972,18302
9/1/1972,18294
10/1/1972,18372
11/1/1972,18503
12/1/1972,18673
1/1/1973,18706
2/1/1973,18874
3/1/1973,19067
4/1/1973,19054
5/1/1973,19390
6/1/1973,19281
7/1/1973,19264
8/1/1973,19079
9/1/1973,19273
10/1/1973,19575
11/1/1973,19639
12/1/1973,19503
1/1/1974,19394
2/1/1974,19531
3/1/1974,19573
4/1/1974,19697
5/1/1974,19751
6/1/1974,19854
7/1/1974,19981
8/1/1974,19975
9/1/1974,19921
10/1/1974,19958
11/1/1974,19795
12/1/1974,19709
1/1/1975,19581
2/1/1975,19512
3/1/1975,19565
4/1/1975,19599
5/1/1975,19594
6/1/1975,19702
7/1/1975,19811
8/1/1975,19848
9/1/1975,19924
10/1/1975,20056
11/1/1975,20091
12/1/1975,20149
1/1/1976,20295
2/1/1976,20245
3/1/1976,20276
4/1/1976,20278
5/1/1976,20550
6/1/1976,20637
7/1/1976,20656
8/1/1976,20746
9/1/1976,20712
10/1/1976,20728
11/1/1976,20810
12/1/1976,20829
1/1/1977,20800
2/1/1977,20961
3/1/1977,21187
4/1/1977,21268
5/1/1977,21255
6/1/1977,21193
7/1/1977,21190
8/1/1977,21218
9/1/1977,21483
10/1/1977,21515
11/1/1977,21645
12/1/1977,21776
1/1/1978,21888
2/1/1978,21957
3/1/1978,21941
4/1/1978,22109
5/1/1978,22058
6/1/1978,22125
7/1/1978,22160
8/1/1978,22121
9/1/1978,22490
10/1/1978,22606
11/1/1978,22692
12/1/1978,22731
1/1/1979,22770
2/1/1979,22911
3/1/1979,22991
4/1/1979,22812
5/1/1979,22882
6/1/1979,23006
7/1/1979,23220
8/1/1979,23173
9/1/1979,23356
10/1/1979,23406
11/1/1979,23433
12/1/1979,23571
1/1/1980,23552
2/1/1980,23638
3/1/1980,23610
4/1/1980,23581
5/1/1980,23488
6/1/1980,23496
7/1/1980,23410
8/1/1980,23469
9/1/1980,23452
10/1/1980,23481
11/1/1980,23575
12/1/1980,23633
1/1/1981,23841
2/1/1981,23906
3/1/1981,23959
4/1/1981,24035
5/1/1981,24145
6/1/1981,24102
7/1/1981,24090
8/1/1981,23957
9/1/1981,23575
10/1/1981,23888
11/1/1981,23812
12/1/1981,23676
1/1/1982,23781
2/1/1982,23859
3/1/1982,23976
4/1/1982,23908
5/1/1982,24210
6/1/1982,24387
7/1/1982,24141
8/1/1982,24177
9/1/1982,24116
10/1/1982,24051
11/1/1982,23926
12/1/1982,24068
1/1/1983,24258
2/1/1983,24160
3/1/1983,24257
4/1/1983,24410
5/1/1983,24294
6/1/1983,24370
7/1/1983,24584
8/1/1983,24866
9/1/1983,24956
10/1/1983,24918
11/1/1983,25007
12/1/1983,25074
1/1/1984,25067
2/1/1984,25268
3/1/1984,25300
4/1/1984,25484
5/1/1984,25735
6/1/1984,25669
7/1/1984,25660
8/1/1984,25733
9/1/1984,25734
10/1/1984,25864
11/1/1984,25978
12/1/1984,26087
1/1/1985,26025
2/1/1985,26144
3/1/1985,26220
4/1/1985,26081
5/1/1985,26006
6/1/1985,25999
7/1/1985,26180
8/1/1985,26303
9/1/1985,26604
10/1/1985,26762
11/1/1985,26809
12/1/1985,26892
1/1/1986,26999
2/1/1986,26675
3/1/1986,26709
4/1/1986,26777
5/1/1986,26831
6/1/1986,27156
7/1/1986,27353
8/1/1986,27370
9/1/1986,27369
10/1/1986,27478
11/1/1986,27501
12/1/1986,27585
1/1/1987,27709
2/1/1987,27773
3/1/1987,27909
4/1/1987,28028
5/1/1987,28316
6/1/1987,28222
7/1/1987,28283
8/1/1987,28189
9/1/1987,28146
10/1/1987,28201
11/1/1987,28261
12/1/1987,28340
1/1/1988,28410
2/1/1988,28627
3/1/1988,28745
4/1/1988,28706
5/1/1988,28529
6/1/1988,28648
7/1/1988,28641
8/1/1988,28806
9/1/1988,28897
10/1/1988,28959
11/1/1988,29059
12/1/1988,29118
1/1/1989,29537
2/1/1989,29413
3/1/1989,29563
4/1/1989,29561
5/1/1989,29596
6/1/1989,29446
7/1/1989,29448
8/1/1989,29183
9/1/1989,29523
10/1/1989,29565
11/1/1989,29853
12/1/1989,29701
1/1/1990,29828
2/1/1990,29734
3/1/1990,29721
4/1/1990,29688
5/1/1990,29951
6/1/1990,29662
7/1/1990,29619
8/1/1990,29671
9/1/1990,29711
10/1/1990,29718
11/1/1990,29657
12/1/1990,29622
1/1/1991,29606
2/1/1991,29652
3/1/1991,29529
4/1/1991,29698
5/1/1991,29574
6/1/1991,29677
7/1/1991,29773
8/1/1991,29756
9/1/1991,29844
10/1/1991,29878
11/1/1991,29791
12/1/1991,29632
1/1/1992,29819
2/1/1992,29770
3/1/1992,30007
4/1/1992,30030
5/1/1992,30138
6/1/1992,30308
7/1/1992,30290
8/1/1992,30192
9/1/1992,30162
10/1/1992,30112
11/1/1992,30186
12/1/1992,30231
1/1/1993,30254
2/1/1993,30313
3/1/1993,30533
4/1/1993,30182
5/1/1993,30427
6/1/1993,30459
7/1/1993,30370
8/1/1993,30530
9/1/1993,30514
10/1/1993,30636
11/1/1993,30811
12/1/1993,30981
1/1/1994,31576
2/1/1994,31573
3/1/1994,31330
4/1/1994,31419
5/1/1994,31403
6/1/1994,31266
7/1/1994,31345
8/1/1994,31499
9/1/1994,31807
10/1/1994,31700
11/1/1994,31793
12/1/1994,31776
1/1/1995,31767
2/1/1995,31954
3/1/1995,32111
4/1/1995,32156
5/1/1995,32089
6/1/1995,31993
7/1/1995,32111
8/1/1995,32074
9/1/1995,32077
10/1/1995,32164
11/1/1995,32203
12/1/1995,32024
1/1/1996,32036
2/1/1996,32168
3/1/1996,32144
4/1/1996,31980
5/1/1996,32395
6/1/1996,32587
7/1/1996,32644
8/1/1996,32676
9/1/1996,32683
10/1/1996,32468
11/1/1996,32534
12/1/1996,32556
1/1/1997,32589
2/1/1997,32601
3/1/1997,32695
4/1/1997,32480
5/1/1997,32519
6/1/1997,32648
7/1/1997,32909
8/1/1997,32970
9/1/1997,32908
10/1/1997,32983
11/1/1997,32887
12/1/1997,32927
1/1/1998,32580
2/1/1998,32819
3/1/1998,32852
4/1/1998,32903
5/1/1998,32791
6/1/1998,32795
7/1/1998,32789
8/1/1998,32735
9/1/1998,32969
10/1/1998,33120
11/1/1998,33042
12/1/1998,33141
1/1/1999,33292
2/1/1999,33057
3/1/1999,33109
4/1/1999,33233
5/1/1999,33427
6/1/1999,33790
7/1/1999,33452
8/1/1999,33558
9/1/1999,33360
10/1/1999,33593
11/1/1999,33748
12/1/1999,33888
1/1/2000,34333
2/1/2000,34249
3/1/2000,34171
4/1/2000,34333
5/1/2000,34294
6/1/2000,34400
7/1/2000,34207
8/1/2000,33962
9/1/2000,33979
10/1/2000,34162
11/1/2000,34189
12/1/2000,34274
1/1/2001,34495
2/1/2001,34498
3/1/2001,34511
4/1/2001,34259
5/1/2001,34292
6/1/2001,34087
7/1/2001,34177
8/1/2001,34200
9/1/2001,34135
10/1/2001,33652
11/1/2001,33817
12/1/2001,33709
1/1/2002,33780
2/1/2002,34285
3/1/2002,34127
4/1/2002,34081
5/1/2002,34082
6/1/2002,34123
7/1/2002,34062
8/1/2002,34325
9/1/2002,34568
10/1/2002,34189
11/1/2002,34123
12/1/2002,34043
1/1/2003,34510
2/1/2003,34629
3/1/2003,34675
4/1/2003,34722
5/1/2003,34514
6/1/2003,34663
7/1/2003,34613
8/1/2003,34695
9/1/2003,34620
10/1/2003,34892
11/1/2003,34911
12/1/2003,34829
1/1/2004,34572
2/1/2004,34553
3/1/2004,34380
4/1/2004,34398
5/1/2004,34508
6/1/2004,34430
7/1/2004,34524
8/1/2004,34441
9/1/2004,34682
