DATE,LREM25MAUSM156S
11/1/1994,87.78816198
12/1/1994,87.99947555
1/1/1995,87.70516237
2/1/1995,87.94542413
3/1/1995,88.02445386
4/1/1995,87.74765948
5/1/1995,87.60210629
6/1/1995,87.64607741
7/1/1995,87.50097508
8/1/1995,87.39191242
9/1/1995,87.5912101
10/1/1995,87.61140052
11/1/1995,87.05497968
12/1/1995,87.22792404
1/1/1996,87.37634638
2/1/1996,87.63315351
3/1/1996,87.62416186
4/1/1996,87.56480545
5/1/1996,87.68125378
6/1/1996,87.86145516
7/1/1996,88.12758031
8/1/1996,88.36662412
9/1/1996,88.13398854
10/1/1996,88.35754922
11/1/1996,88.16752318
12/1/1996,88.30497183
1/1/1997,88.10187201
2/1/1997,88.15621839
3/1/1997,88.30413262
4/1/1997,88.21302817
5/1/1997,88.20216955
6/1/1997,88.42630747
7/1/1997,88.64779904
8/1/1997,88.73416087
9/1/1997,88.5804665
10/1/1997,88.579027
11/1/1997,88.70878076
12/1/1997,88.54775088
1/1/1998,88.65306375
2/1/1998,88.69544777
3/1/1998,88.82488139
4/1/1998,88.94264605
5/1/1998,88.84939975
6/1/1998,88.75005826
7/1/1998,88.76669706
8/1/1998,88.75080105
9/1/1998,88.76715263
10/1/1998,88.86056245
11/1/1998,89.15427664
12/1/1998,88.94999097
1/1/1999,89.43832287
2/1/1999,89.05234336
3/1/1999,89.06661446
4/1/1999,89.17296667
5/1/1999,88.97441276
6/1/1999,88.88370286
7/1/1999,88.88702059
8/1/1999,88.70287429
9/1/1999,88.67877308
10/1/1999,88.80873519
11/1/1999,89.13420686
12/1/1999,89.02516488
1/1/2000,89.23620094
2/1/2000,89.18511792
3/1/2000,89.09518406
4/1/2000,89.23328317
5/1/2000,89.01105758
6/1/2000,89.16615484
7/1/2000,88.96117739
8/1/2000,88.90697924
9/1/2000,88.75184752
10/1/2000,88.66402467
11/1/2000,88.91235804
12/1/2000,88.91283579
1/1/2001,88.64678331
2/1/2001,88.58477478
3/1/2001,88.41545698
4/1/2001,88.27260102
5/1/2001,88.24513623
6/1/2001,88.12658782
7/1/2001,87.95971674
8/1/2001,87.55951143
9/1/2001,87.61921079
10/1/2001,87.38070899
11/1/2001,86.98690675
12/1/2001,87.16751839
1/1/2002,86.90036076
2/1/2002,87.13902168
3/1/2002,87.03919114
4/1/2002,86.79233607
5/1/2002,86.7348987
6/1/2002,86.49272121
7/1/2002,86.44953542
8/1/2002,86.70331363
9/1/2002,86.7490846
