DATE,SRVPRD
7/1/1965,40354
8/1/1965,40502
9/1/1965,40682
10/1/1965,40824
11/1/1965,40975
12/1/1965,41171
1/1/1966,41315
2/1/1966,41481
3/1/1966,41677
4/1/1966,41869
5/1/1966,42037
6/1/1966,42265
7/1/1966,42429
8/1/1966,42535
9/1/1966,42695
10/1/1966,42863
11/1/1966,43031
12/1/1966,43191
1/1/1967,43350
2/1/1967,43442
3/1/1967,43611
4/1/1967,43624
5/1/1967,43841
6/1/1967,43989
7/1/1967,44116
8/1/1967,44256
9/1/1967,44389
10/1/1967,44446
11/1/1967,44707
12/1/1967,44863
1/1/1968,44887
2/1/1968,45098
3/1/1968,45176
4/1/1968,45349
5/1/1968,45397
6/1/1968,45641
7/1/1968,45797
8/1/1968,45980
9/1/1968,46094
10/1/1968,46302
11/1/1968,46472
12/1/1968,46631
1/1/1969,46795
2/1/1969,46944
3/1/1969,47092
4/1/1969,47257
5/1/1969,47429
6/1/1969,47655
7/1/1969,47739
8/1/1969,47897
9/1/1969,47926
10/1/1969,48145
11/1/1969,48246
12/1/1969,48357
1/1/1970,48450
2/1/1970,48558
3/1/1970,48713
4/1/1970,48796
5/1/1970,48788
6/1/1970,48788
7/1/1970,48858
8/1/1970,48832
9/1/1970,48956
10/1/1970,49044
11/1/1970,49064
12/1/1970,49119
1/1/1971,49271
2/1/1971,49293
3/1/1971,49369
4/1/1971,49484
5/1/1971,49602
6/1/1971,49686
7/1/1971,49751
8/1/1971,49803
9/1/1971,49964
10/1/1971,50038
11/1/1971,50163
12/1/1971,50368
1/1/1972,50576
2/1/1972,50733
3/1/1972,50908
4/1/1972,51063
5/1/1972,51247
6/1/1972,51476
7/1/1972,51547
8/1/1972,51741
9/1/1972,51808
10/1/1972,52061
11/1/1972,52285
12/1/1972,52496
1/1/1973,52662
2/1/1973,52854
3/1/1973,53022
4/1/1973,53139
5/1/1973,53266
6/1/1973,53402
7/1/1973,53391
8/1/1973,53609
9/1/1973,53728
10/1/1973,53966
11/1/1973,54201
12/1/1973,54252
1/1/1974,54391
2/1/1974,54536
3/1/1974,54609
4/1/1974,54712
5/1/1974,54914
6/1/1974,55013
7/1/1974,55174
8/1/1974,55223
9/1/1974,55336
10/1/1974,55512
11/1/1974,55492
12/1/1974,55349
1/1/1975,55319
2/1/1975,55406
3/1/1975,55374
4/1/1975,55351
5/1/1975,55527
6/1/1975,55503
7/1/1975,55789
8/1/1975,55977
9/1/1975,55944
10/1/1975,56156
11/1/1975,56243
12/1/1975,56415
1/1/1976,56704
2/1/1976,56923
3/1/1976,57068
4/1/1976,57242
5/1/1976,57324
6/1/1976,57394
7/1/1976,57559
8/1/1976,57666
9/1/1976,57750
10/1/1976,57874
11/1/1976,58033
12/1/1976,58187
1/1/1977,58370
2/1/1977,58510
3/1/1977,58719
4/1/1977,58921
5/1/1977,59169
6/1/1977,59442
7/1/1977,59728
8/1/1977,59951
9/1/1977,60288
10/1/1977,60521
11/1/1977,60802
12/1/1977,61039
1/1/1978,61220
2/1/1978,61495
3/1/1978,61811
4/1/1978,62154
5/1/1978,62427
6/1/1978,62712
7/1/1978,62904
8/1/1978,63109
9/1/1978,63177
10/1/1978,63408
11/1/1978,63713
12/1/1978,63913
1/1/1979,64068
2/1/1979,64271
3/1/1979,64481
4/1/1979,64459
5/1/1979,64718
6/1/1979,64947
7/1/1979,65054
8/1/1979,65241
9/1/1979,65239
10/1/1979,65443
11/1/1979,65626
12/1/1979,65702
1/1/1980,65851
2/1/1980,66009
3/1/1980,66176
4/1/1980,66342
5/1/1980,66186
6/1/1980,66133
7/1/1980,66142
8/1/1980,66239
9/1/1980,66282
10/1/1980,66478
11/1/1980,66624
12/1/1980,66761
1/1/1981,66881
2/1/1981,66987
3/1/1981,67007
4/1/1981,67132
5/1/1981,67148
6/1/1981,67200
7/1/1981,67299
8/1/1981,67307
9/1/1981,67267
10/1/1981,67329
11/1/1981,67296
12/1/1981,67239
1/1/1982,67203
2/1/1982,67202
3/1/1982,67220
4/1/1982,67154
5/1/1982,67223
6/1/1982,67222
7/1/1982,67087
8/1/1982,67095
9/1/1982,67037
10/1/1982,67028
11/1/1982,67050
12/1/1982,67083
1/1/1983,67233
2/1/1983,67241
3/1/1983,67441
4/1/1983,67635
5/1/1983,67815
6/1/1983,68072
7/1/1983,68334
8/1/1983,67922
9/1/1983,68866
10/1/1983,68974
11/1/1983,69177
12/1/1983,69427
1/1/1984,69731
2/1/1984,70011
3/1/1984,70220
4/1/1984,70487
5/1/1984,70709
6/1/1984,70982
7/1/1984,71218
8/1/1984,71424
9/1/1984,71727
10/1/1984,72003
11/1/1984,72343
12/1/1984,72434
1/1/1985,72700
2/1/1985,72882
3/1/1985,73181
4/1/1985,73394
5/1/1985,73680
6/1/1985,73867
7/1/1985,74099
8/1/1985,74294
9/1/1985,74517
10/1/1985,74704
11/1/1985,74923
12/1/1985,75091
1/1/1986,75202
2/1/1986,75362
3/1/1986,75506
4/1/1986,75694
5/1/1986,75899
6/1/1986,75892
7/1/1986,76238
8/1/1986,76363
9/1/1986,76718
10/1/1986,76913
11/1/1986,77104
12/1/1986,77272
1/1/1987,77446
2/1/1987,77623
3/1/1987,77857
4/1/1987,78157
5/1/1987,78338
6/1/1987,78510
7/1/1987,78792
8/1/1987,78914
9/1/1987,79081
10/1/1987,79483
11/1/1987,79661
12/1/1987,79889
1/1/1988,80085
2/1/1988,80445
3/1/1988,80665
4/1/1988,80852
5/1/1988,81066
6/1/1988,81375
7/1/1988,81584
8/1/1988,81748
9/1/1988,82071
10/1/1988,82289
11/1/1988,82587
12/1/1988,82844
1/1/1989,83064
2/1/1989,83347
3/1/1989,83552
4/1/1989,83691
5/1/1989,83824
6/1/1989,83975
7/1/1989,84042
8/1/1989,84072
9/1/1989,84369
10/1/1989,84479
11/1/1989,84743
12/1/1989,84887
1/1/1990,85217
2/1/1990,85364
3/1/1990,85621
4/1/1990,85720
5/1/1990,85951
6/1/1990,86007
7/1/1990,86078
8/1/1990,85968
9/1/1990,85947
10/1/1990,85894
11/1/1990,85931
12/1/1990,85963
1/1/1991,85994
2/1/1991,85834
3/1/1991,85795
4/1/1991,85677
5/1/1991,85631
6/1/1991,85763
7/1/1991,85785
8/1/1991,85817
9/1/1991,85870
10/1/1991,85939
11/1/1991,85980
12/1/1991,86054
1/1/1992,86156
2/1/1992,86169
3/1/1992,86238
4/1/1992,86387
5/1/1992,86514
6/1/1992,86618
7/1/1992,86719
8/1/1992,86880
9/1/1992,86939
10/1/1992,87110
11/1/1992,87230
12/1/1992,87419
1/1/1993,87661
2/1/1993,87856
3/1/1993,87852
4/1/1993,88165
5/1/1993,88379
6/1/1993,88584
7/1/1993,88872
8/1/1993,89003
9/1/1993,89196
10/1/1993,89427
11/1/1993,89637
12/1/1993,89901
1/1/1994,90130
2/1/1994,90330
3/1/1994,90692
4/1/1994,90945
5/1/1994,91217
6/1/1994,91474
7/1/1994,91803
8/1/1994,92020
9/1/1994,92299
10/1/1994,92484
11/1/1994,92819
12/1/1994,93070
1/1/1995,93354
2/1/1995,93594
3/1/1995,93756
4/1/1995,93895
5/1/1995,93929
6/1/1995,94149
7/1/1995,94261
8/1/1995,94470
9/1/1995,94667
10/1/1995,94825
11/1/1995,94975
12/1/1995,95111
1/1/1996,95120
2/1/1996,95459
3/1/1996,95717
4/1/1996,95842
5/1/1996,96128
6/1/1996,96370
7/1/1996,96597
8/1/1996,96720
