DATE,LREM55FEUSM156S
11/1/1994,47.28913111
12/1/1994,47.24686911
1/1/1995,47.19070414
2/1/1995,47.74241974
3/1/1995,47.11734026
4/1/1995,47.53909188
5/1/1995,46.99676711
6/1/1995,47.18901163
7/1/1995,47.67237569
8/1/1995,47.53210483
9/1/1995,47.86007618
10/1/1995,47.97603078
11/1/1995,47.71804218
12/1/1995,46.85407569
1/1/1996,47.78517772
2/1/1996,47.65960544
3/1/1996,47.60072907
4/1/1996,46.81508025
5/1/1996,46.99567619
6/1/1996,47.36088467
7/1/1996,48.17450405
8/1/1996,48.28551422
9/1/1996,48.75587024
10/1/1996,48.55197939
11/1/1996,48.85228582
12/1/1996,48.82424523
1/1/1997,48.72288597
2/1/1997,49.00264029
3/1/1997,49.22711592
4/1/1997,49.11566491
5/1/1997,49.26235653
6/1/1997,49.09103794
7/1/1997,49.07288555
8/1/1997,49.83256484
9/1/1997,49.76829716
10/1/1997,50.54458281
11/1/1997,50.38424288
12/1/1997,50.41670308
1/1/1998,50.02634098
2/1/1998,50.32880099
3/1/1998,50.09977267
4/1/1998,50.57224644
5/1/1998,49.74988862
6/1/1998,49.58578153
7/1/1998,48.96346617
8/1/1998,49.67640598
9/1/1998,50.09383184
10/1/1998,49.86514601
11/1/1998,50.30823869
12/1/1998,50.39119232
1/1/1999,49.97315113
2/1/1999,49.91188057
3/1/1999,49.79094362
4/1/1999,49.93147222
5/1/1999,49.92128884
6/1/1999,49.94021258
7/1/1999,50.34831826
8/1/1999,50.71784647
9/1/1999,50.12111702
10/1/1999,50.40565494
11/1/1999,50.07757087
12/1/1999,50.70802733
1/1/2000,50.58404027
2/1/2000,50.43571175
3/1/2000,50.84759457
4/1/2000,50.54278732
5/1/2000,50.08348057
6/1/2000,50.83905025
7/1/2000,50.6726616
8/1/2000,50.5083495
9/1/2000,50.25352343
10/1/2000,50.46425987
11/1/2000,50.14086353
12/1/2000,51.41905638
1/1/2001,51.07532702
2/1/2001,51.24546092
3/1/2001,51.93597464
4/1/2001,51.65449714
5/1/2001,52.22189196
6/1/2001,51.90777076
7/1/2001,52.06617473
8/1/2001,51.69841991
9/1/2001,51.79944125
10/1/2001,51.74285904
11/1/2001,51.67989942
12/1/2001,51.98764767
1/1/2002,52.45563835
2/1/2002,53.0072558
3/1/2002,52.70796334
4/1/2002,52.78027271
5/1/2002,52.87056943
6/1/2002,52.70877133
7/1/2002,52.90098641
8/1/2002,53.0072695
9/1/2002,54.02763319
10/1/2002,53.91835145
11/1/2002,54.67273508
12/1/2002,53.74868897
1/1/2003,54.61971277
2/1/2003,54.50598135
3/1/2003,54.77196496
4/1/2003,54.31147883
5/1/2003,54.53370383
6/1/2003,54.59980776
7/1/2003,54.18303649
8/1/2003,54.17779193
9/1/2003,53.9966974
10/1/2003,54.79451732
11/1/2003,54.84588693
12/1/2003,54.47952188
1/1/2004,54.24142721
2/1/2004,54.63869823
3/1/2004,54.30753786
4/1/2004,54.22215197
5/1/2004,54.32074242
6/1/2004,53.83990852
7/1/2004,54.08278351
8/1/2004,54.09696059
9/1/2004,54.49470602
10/1/2004,54.04280469
11/1/2004,54.48591246
12/1/2004,55.04500559
1/1/2005,54.94356031
2/1/2005,54.71159305
3/1/2005,54.4488637
4/1/2005,55.08116242
5/1/2005,54.54162014
6/1/2005,55.1176413
7/1/2005,54.98992538
8/1/2005,55.42860769
9/1/2005,55.48775646
10/1/2005,55.58574171
11/1/2005,55.5756105
12/1/2005,55.7306962
1/1/2006,55.61103641
2/1/2006,55.91413052
3/1/2006,55.84545263
4/1/2006,56.33643148
5/1/2006,55.96981806
6/1/2006,56.62297985
7/1/2006,57.16113228
8/1/2006,56.9992058
9/1/2006,56.70455789
10/1/2006,56.88022808
11/1/2006,56.83662545
12/1/2006,56.70485888
1/1/2007,56.40304435
2/1/2007,56.80504188
3/1/2007,56.55168796
4/1/2007,55.98012219
5/1/2007,56.68731178
6/1/2007,56.5407978
7/1/2007,56.96860745
8/1/2007,56.49488049
9/1/2007,56.80977275
10/1/2007,56.64649375
11/1/2007,56.75323521
12/1/2007,56.83029797
1/1/2008,57.06553908
2/1/2008,57.24572953
3/1/2008,57.38531558
4/1/2008,56.84314979
5/1/2008,56.72565749
6/1/2008,56.82072844
7/1/2008,56.49969124
8/1/2008,56.75362008
9/1/2008,56.55348969
10/1/2008,57.40524412
11/1/2008,57.00649145
12/1/2008,57.05561464
1/1/2009,56.70811404
2/1/2009,56.53604868
3/1/2009,56.61084631
4/1/2009,56.67149997
5/1/2009,56.63818396
6/1/2009,56.69402533
7/1/2009,56.50147188
8/1/2009,56.27801935
9/1/2009,56.1356829
10/1/2009,56.19764319
11/1/2009,55.96037253
12/1/2009,55.69134422
1/1/2010,56.47495907
2/1/2010,56.14093675
3/1/2010,56.65810434
4/1/2010,56.7816623
5/1/2010,56.91318792
6/1/2010,56.7935248
7/1/2010,56.95036308
8/1/2010,56.60951659
9/1/2010,56.43522314
10/1/2010,55.6296386
11/1/2010,55.69270564
12/1/2010,56.07396868
1/1/2011,56.15871842
2/1/2011,55.94839708
3/1/2011,55.9436565
4/1/2011,55.91615555
5/1/2011,55.99742563
6/1/2011,55.82036596
7/1/2011,55.52735294
8/1/2011,55.95009905
9/1/2011,56.17112323
10/1/2011,55.758051
11/1/2011,55.69339991
12/1/2011,55.72032003
1/1/2012,56.03345631
2/1/2012,55.84946972
3/1/2012,56.16459187
4/1/2012,55.98269807
5/1/2012,56.27370885
6/1/2012,56.57333662
7/1/2012,55.5274678
8/1/2012,55.84818362
9/1/2012,55.87786951
10/1/2012,56.44375948
11/1/2012,56.41342273
12/1/2012,56.55830469
1/1/2013,56.64279963
2/1/2013,56.39230056
3/1/2013,56.51489724
4/1/2013,56.28845246
5/1/2013,56.69055718
6/1/2013,56.2090834
7/1/2013,56.61080387
8/1/2013,56.51300455
9/1/2013,55.75834065
10/1/2013,55.87494007
11/1/2013,55.89089522
12/1/2013,55.63663842
1/1/2014,56.00235416
2/1/2014,56.3762706
3/1/2014,55.99488135
4/1/2014,56.16176069
5/1/2014,56.59134028
6/1/2014,56.32150346
7/1/2014,56.36243965
8/1/2014,56.34144232
9/1/2014,56.38460925
10/1/2014,56.63574982
11/1/2014,56.61342636
12/1/2014,56.16848131
1/1/2015,56.27512745
2/1/2015,55.96032318
3/1/2015,56.11085293
4/1/2015,56.54633921
5/1/2015,56.5865219
6/1/2015,56.15317583
7/1/2015,56.48620403
8/1/2015,56.17721641
9/1/2015,56.34137519
10/1/2015,56.45733074
11/1/2015,56.78885016
12/1/2015,56.94563718
1/1/2016,56.6483756
2/1/2016,56.93935169
3/1/2016,56.64301906
4/1/2016,56.69984608
5/1/2016,56.49486924
6/1/2016,56.3255843
7/1/2016,56.40003086
8/1/2016,55.91377939
9/1/2016,56.46837125
10/1/2016,56.48414674
11/1/2016,56.54271188
12/1/2016,56.44301473
1/1/2017,56.70667243
2/1/2017,56.68909623
3/1/2017,57.67931212
4/1/2017,56.89008763
5/1/2017,57.01932517
6/1/2017,57.07290141
7/1/2017,57.08013953
8/1/2017,57.21217813
9/1/2017,57.09014143
10/1/2017,57.18193651
11/1/2017,57.40632123
12/1/2017,57.13646608
1/1/2018,56.97598876
2/1/2018,57.36815639
3/1/2018,57.02718391
4/1/2018,57.41308689
5/1/2018,57.64694798
6/1/2018,57.62701158
7/1/2018,57.28304816
8/1/2018,57.58723723
9/1/2018,57.74543254
10/1/2018,57.49683823
11/1/2018,57.66727429
12/1/2018,58.17059951
1/1/2019,58.0572342
2/1/2019,58.07349181
3/1/2019,57.98567921
4/1/2019,58.08374456
5/1/2019,57.26059759
6/1/2019,57.63674168
7/1/2019,57.94794705
8/1/2019,57.9159827
9/1/2019,58.59337163
10/1/2019,58.2902173
11/1/2019,58.21715964
12/1/2019,57.81138997
1/1/2020,57.91030502
2/1/2020,58.11268608
3/1/2020,57.76008494
4/1/2020,49.03092443
5/1/2020,51.06517658
6/1/2020,53.26988745
7/1/2020,54.54301198
8/1/2020,55.86384209
9/1/2020,54.70711471
10/1/2020,55.3537898
