DATE,LREM55MAUSM156S
1/1/1977,71.20166825
2/1/1977,70.70126605
3/1/1977,71.27160709
4/1/1977,71.41865352
5/1/1977,71.17676732
6/1/1977,71.56338354
7/1/1977,71.15105969
8/1/1977,71.12981146
9/1/1977,70.93853686
10/1/1977,71.46705541
11/1/1977,71.37976758
12/1/1977,71.38508263
1/1/1978,70.81609645
2/1/1978,70.88378587
3/1/1978,71.04199908
4/1/1978,71.05068469
5/1/1978,71.07253059
6/1/1978,71.53644852
7/1/1978,71.45161699
8/1/1978,71.46487099
9/1/1978,71.20962496
10/1/1978,71.16610364
11/1/1978,71.83718955
12/1/1978,71.73507345
1/1/1979,71.89002341
2/1/1979,71.34023623
3/1/1979,71.00485576
4/1/1979,70.2715117
5/1/1979,70.59746793
6/1/1979,70.29100862
7/1/1979,70.49296732
8/1/1979,70.97812472
9/1/1979,71.20792234
10/1/1979,71.17156388
11/1/1979,70.34083871
12/1/1979,70.18790067
1/1/1980,69.80497321
2/1/1980,70.55916387
3/1/1980,70.1212869
4/1/1980,69.85643446
5/1/1980,69.7990701
6/1/1980,69.72951328
7/1/1980,69.81472332
8/1/1980,69.76523909
9/1/1980,69.13893064
10/1/1980,69.45222801
11/1/1980,69.06235675
12/1/1980,69.02019166
1/1/1981,68.68314997
2/1/1981,69.02548751
3/1/1981,69.24959814
4/1/1981,68.81774792
5/1/1981,68.83767558
6/1/1981,68.07163631
7/1/1981,68.28856221
8/1/1981,67.710302
9/1/1981,67.42565911
10/1/1981,67.04954956
11/1/1981,66.86503152
12/1/1981,66.68448506
1/1/1982,66.68457288
2/1/1982,66.33959471
3/1/1982,66.73807398
4/1/1982,66.69079121
5/1/1982,66.7445206
6/1/1982,66.20456488
7/1/1982,66.35294651
8/1/1982,66.08025811
9/1/1982,67.1803171
10/1/1982,66.06915841
11/1/1982,65.82604424
12/1/1982,65.36916671
1/1/1983,65.28010305
2/1/1983,65.29152532
3/1/1983,64.7123906
4/1/1983,64.5614784
5/1/1983,64.87564143
6/1/1983,65.17754875
7/1/1983,65.15970018
8/1/1983,65.12160024
9/1/1983,65.17155516
10/1/1983,65.247014
11/1/1983,65.72995669
12/1/1983,65.72959462
1/1/1984,65.33693408
2/1/1984,65.26193571
3/1/1984,64.74936981
4/1/1984,65.10815976
5/1/1984,65.0366633
6/1/1984,64.96985437
7/1/1984,64.93588561
8/1/1984,65.34464561
9/1/1984,65.12714792
10/1/1984,64.58465992
11/1/1984,65.01771137
12/1/1984,65.63692235
1/1/1985,65.07348817
2/1/1985,64.81500054
3/1/1985,65.39001083
4/1/1985,65.11418484
5/1/1985,64.63761686
6/1/1985,65.18621332
7/1/1985,64.87450777
8/1/1985,65.38301063
9/1/1985,64.81201359
10/1/1985,64.9319807
11/1/1985,64.98887696
12/1/1985,64.47725119
1/1/1986,64.52399948
2/1/1986,63.22329714
3/1/1986,63.76562625
4/1/1986,64.12265182
5/1/1986,64.82335839
6/1/1986,64.61084998
7/1/1986,64.36936064
8/1/1986,64.35154565
9/1/1986,64.14602496
10/1/1986,64.36859859
11/1/1986,64.89521789
12/1/1986,65.20823827
1/1/1987,65.45581611
2/1/1987,64.99531925
3/1/1987,65.22269184
4/1/1987,64.90807314
5/1/1987,65.2228542
6/1/1987,64.91316842
7/1/1987,64.98418697
8/1/1987,64.41274441
9/1/1987,64.78728659
10/1/1987,65.15554497
11/1/1987,65.39311078
12/1/1987,65.52233978
1/1/1988,65.06779749
2/1/1988,65.14431035
3/1/1988,64.56679221
4/1/1988,64.95242826
5/1/1988,64.54568729
6/1/1988,64.45147396
7/1/1988,64.73562219
8/1/1988,64.81961996
9/1/1988,64.50506521
10/1/1988,64.48219393
11/1/1988,64.17164973
12/1/1988,64.63662687
1/1/1989,64.70138213
2/1/1989,64.58908007
3/1/1989,64.94210426
4/1/1989,65.1934609
5/1/1989,64.72749491
6/1/1989,65.63265919
7/1/1989,65.52800703
8/1/1989,64.53883241
9/1/1989,64.81640632
10/1/1989,64.7509143
11/1/1989,64.99965525
12/1/1989,64.54941029
1/1/1990,64.72675783
2/1/1990,64.55256391
3/1/1990,64.54857204
4/1/1990,64.38841562
5/1/1990,64.90434753
6/1/1990,65.39207751
7/1/1990,65.42574578
8/1/1990,65.76804491
9/1/1990,65.80975072
10/1/1990,65.5206872
11/1/1990,65.54373531
12/1/1990,66.05244988
1/1/1991,64.73682897
2/1/1991,64.36964088
3/1/1991,64.07341756
4/1/1991,63.98257366
5/1/1991,63.47111371
6/1/1991,63.81795723
7/1/1991,63.88238593
8/1/1991,63.39871219
9/1/1991,63.96992587
10/1/1991,63.57531011
11/1/1991,63.6275942
12/1/1991,63.34500809
1/1/1992,63.50130519
2/1/1992,63.75928134
3/1/1992,63.69596509
4/1/1992,64.12262118
5/1/1992,64.25060889
6/1/1992,63.41742433
7/1/1992,63.63923754
8/1/1992,62.50246556
9/1/1992,62.33918643
10/1/1992,61.71387775
11/1/1992,61.92706463
12/1/1992,62.61984218
1/1/1993,62.89853832
2/1/1993,64.47346281
3/1/1993,64.12825018
4/1/1993,64.09740132
5/1/1993,63.85351683
6/1/1993,63.94823052
7/1/1993,62.38876964
8/1/1993,62.56007593
9/1/1993,61.86983956
10/1/1993,62.40573242
11/1/1993,61.9871071
12/1/1993,62.4694868
1/1/1994,63.06843856
2/1/1994,62.31608277
3/1/1994,61.68727871
4/1/1994,61.29422872
5/1/1994,61.75959327
6/1/1994,61.98671533
7/1/1994,61.96860494
8/1/1994,62.34693451
9/1/1994,62.88838528
10/1/1994,63.50347075
11/1/1994,63.99027069
12/1/1994,64.53277506
1/1/1995,63.93051867
2/1/1995,63.53173827
3/1/1995,63.57117258
4/1/1995,63.19229826
5/1/1995,62.94963842
6/1/1995,62.72523932
7/1/1995,63.69167407
8/1/1995,63.23273345
9/1/1995,63.90233082
10/1/1995,64.74925489
11/1/1995,64.2421696
12/1/1995,63.83535296
1/1/1996,63.8963959
2/1/1996,64.26437174
3/1/1996,64.52246666
4/1/1996,64.99046885
5/1/1996,65.12266613
6/1/1996,65.55692391
7/1/1996,64.65751182
8/1/1996,64.97617749
9/1/1996,64.39675508
10/1/1996,65.1209641
11/1/1996,64.62347206
12/1/1996,64.43821583
1/1/1997,64.7405913
2/1/1997,64.92695125
3/1/1997,65.80195958
4/1/1997,65.78275942
5/1/1997,65.95706039
6/1/1997,65.06784324
7/1/1997,64.9370239
8/1/1997,65.74404839
9/1/1997,65.39215931
10/1/1997,65.817342
11/1/1997,66.38634378
12/1/1997,65.49029494
1/1/1998,65.61695314
2/1/1998,65.94095283
3/1/1998,65.7478113
4/1/1998,65.89622336
5/1/1998,67.05185919
6/1/1998,66.46428282
7/1/1998,66.22209891
8/1/1998,66.22389903
9/1/1998,66.31166507
10/1/1998,66.95752173
11/1/1998,66.1029744
12/1/1998,66.05765617
1/1/1999,65.8556482
2/1/1999,66.16711136
3/1/1999,66.82186618
4/1/1999,66.44050473
5/1/1999,65.82752767
6/1/1999,66.1884916
7/1/1999,65.90382504
8/1/1999,66.39474516
9/1/1999,66.11727936
10/1/1999,65.54322813
11/1/1999,65.82327393
12/1/1999,65.88990526
